commodity,market,region,pricetype,strategy,forecast_date,horizon_months,forecast_price_kes,forecast_lower,forecast_upper,test_mape,months_stale,confidence
Beans (mixed),Ahero,Nyanza,Retail,chronos,2026-09-01,3,127.42,107.5,147.24,6.49,3,high
Beans (mixed),Ahero,Nyanza,Retail,chronos,2026-07-01,6,128.36,120.62,139.69,6.49,3,high
Beans (mixed),Ahero,Nyanza,Retail,chronos,2026-08-01,6,128.36,115.05,141.67,6.49,3,high
Beans (mixed),Ahero,Nyanza,Retail,chronos,2026-09-01,6,127.89,114.2,146.3,6.49,3,high
Beans (mixed),Ahero,Nyanza,Retail,chronos,2026-10-01,6,127.42,113.17,145.45,6.49,3,high
Beans (mixed),Ahero,Nyanza,Retail,chronos,2026-11-01,6,127.89,112.03,145.35,6.49,3,high
Beans (mixed),Ahero,Nyanza,Retail,chronos,2026-12-01,6,126.95,108.54,147.24,6.49,3,high
Beans (mixed),Ahero,Nyanza,Retail,chronos,2026-07-01,12,126.47,119.77,135.91,6.49,3,high
Beans (mixed),Ahero,Nyanza,Retail,chronos,2026-08-01,12,126.47,114.11,142.61,6.49,3,high
Beans (mixed),Ahero,Nyanza,Retail,chronos,2026-09-01,12,125.53,111.37,142.61,6.49,3,high
Beans (mixed),Ahero,Nyanza,Retail,chronos,2026-10-01,12,126.0,110.34,142.61,6.49,3,high
Beans (mixed),Ahero,Nyanza,Retail,chronos,2026-11-01,12,124.59,110.43,142.52,6.49,3,high
Beans (mixed),Ahero,Nyanza,Retail,chronos,2026-12-01,12,125.06,106.47,143.56,6.49,3,high
Beans (mixed),Ahero,Nyanza,Retail,chronos,2027-01-01,12,121.76,103.45,144.41,6.49,3,high
Beans (mixed),Ahero,Nyanza,Retail,chronos,2027-02-01,12,122.23,103.45,141.67,6.49,3,high
Beans (mixed),Ahero,Nyanza,Retail,chronos,2027-03-01,12,123.17,101.75,144.6,6.49,3,high
Beans (mixed),Ahero,Nyanza,Retail,chronos,2027-04-01,12,125.53,101.75,146.39,6.49,3,high
Beans (mixed),Ahero,Nyanza,Retail,chronos,2027-05-01,12,123.64,98.16,149.13,6.49,3,high
Beans (mixed),Ahero,Nyanza,Retail,chronos,2027-06-01,12,124.12,100.71,151.11,6.49,3,high
Beans (mixed),Bomet,Rift Valley,Retail,chronos,2026-07-01,3,167.68,150.91,183.61,7.23,3,high
Beans (mixed),Bomet,Rift Valley,Retail,chronos,2026-08-01,3,163.91,146.72,184.53,7.23,3,high
Beans (mixed),Bomet,Rift Valley,Retail,chronos,2026-09-01,3,162.65,139.84,187.21,7.23,3,high
Beans (mixed),Bomet,Rift Valley,Retail,chronos,2026-07-01,6,169.35,154.18,180.34,7.23,3,high
Beans (mixed),Bomet,Rift Valley,Retail,chronos,2026-08-01,6,165.58,146.72,181.18,7.23,3,high
Beans (mixed),Bomet,Rift Valley,Retail,chronos,2026-09-01,6,163.49,145.88,180.51,7.23,3,high
Beans (mixed),Bomet,Rift Valley,Retail,chronos,2026-10-01,6,163.07,147.39,180.42,7.23,3,high
Beans (mixed),Bomet,Rift Valley,Retail,chronos,2026-11-01,6,164.32,141.6,184.53,7.23,3,high
Beans (mixed),Bomet,Rift Valley,Retail,chronos,2026-12-01,6,163.49,139.17,184.45,7.23,3,high
Beans (mixed),Bomet,Rift Valley,Retail,chronos,2026-07-01,12,171.03,153.43,183.61,7.23,3,high
Beans (mixed),Bomet,Rift Valley,Retail,chronos,2026-08-01,12,166.84,151.58,180.34,7.23,3,high
Beans (mixed),Bomet,Rift Valley,Retail,chronos,2026-09-01,12,165.58,144.04,184.45,7.23,3,high
Beans (mixed),Bomet,Rift Valley,Retail,chronos,2026-10-01,12,163.49,145.54,184.53,7.23,3,high
Beans (mixed),Bomet,Rift Valley,Retail,chronos,2026-11-01,12,164.32,137.5,192.91,7.23,3,high
Beans (mixed),Bomet,Rift Valley,Retail,chronos,2026-12-01,12,160.13,134.14,190.4,7.23,3,high
Beans (mixed),Bomet,Rift Valley,Retail,chronos,2027-01-01,12,159.29,131.63,186.54,7.23,3,high
Beans (mixed),Bomet,Rift Valley,Retail,chronos,2027-02-01,12,160.55,126.35,186.37,7.23,3,high
Beans (mixed),Bomet,Rift Valley,Retail,chronos,2027-03-01,12,160.13,128.53,189.73,7.23,3,high
Beans (mixed),Bomet,Rift Valley,Retail,chronos,2027-04-01,12,155.52,123.91,178.83,7.23,3,high
Beans (mixed),Bomet,Rift Valley,Retail,chronos,2027-05-01,12,154.26,122.24,186.29,7.23,3,high
Beans (mixed),Bomet,Rift Valley,Retail,chronos,2027-06-01,12,155.52,124.92,189.64,7.23,3,high
Beans (mixed),Butere,Western,Retail,chronos,2026-07-01,3,143.66,131.15,154.09,25.28,3,low
Beans (mixed),Butere,Western,Retail,chronos,2026-08-01,3,143.66,128.15,162.47,25.28,3,low
Beans (mixed),Butere,Western,Retail,chronos,2026-09-01,3,145.21,121.95,163.4,25.28,3,low
Beans (mixed),Butere,Western,Retail,chronos,2026-07-01,6,143.66,129.08,155.02,25.28,3,low
Beans (mixed),Butere,Western,Retail,chronos,2026-08-01,6,143.66,125.05,163.6,25.28,3,low
Beans (mixed),Butere,Western,Retail,chronos,2026-09-01,6,140.56,120.82,165.67,25.28,3,low
Beans (mixed),Butere,Western,Retail,chronos,2026-10-01,6,143.14,116.68,167.63,25.28,3,low
Beans (mixed),Butere,Western,Retail,chronos,2026-11-01,6,139.52,109.55,169.6,25.28,3,low
Beans (mixed),Butere,Western,Retail,chronos,2026-12-01,6,134.35,107.38,169.8,25.28,3,low
Beans (mixed),Butere,Western,Retail,chronos,2026-07-01,12,141.59,128.15,150.99,25.28,3,low
Beans (mixed),Butere,Western,Retail,chronos,2026-08-01,12,140.56,124.95,155.13,25.28,3,low
Beans (mixed),Butere,Western,Retail,chronos,2026-09-01,12,140.56,121.75,157.19,25.28,3,low
Beans (mixed),Butere,Western,Retail,chronos,2026-10-01,12,140.56,116.68,166.39,25.28,3,low
Beans (mixed),Butere,Western,Retail,chronos,2026-11-01,12,137.45,112.34,167.53,25.28,3,low
Beans (mixed),Butere,Western,Retail,chronos,2026-12-01,12,133.84,108.52,170.84,25.28,3,low
Beans (mixed),Butere,Western,Retail,chronos,2027-01-01,12,135.39,108.41,171.77,25.28,3,low
Beans (mixed),Butere,Western,Retail,chronos,2027-02-01,12,131.25,104.38,174.76,25.28,3,low
Beans (mixed),Butere,Western,Retail,chronos,2027-03-01,12,130.74,100.15,178.9,25.28,3,low
Beans (mixed),Butere,Western,Retail,chronos,2027-04-01,12,128.67,98.18,176.31,25.28,3,low
Beans (mixed),Butere,Western,Retail,chronos,2027-05-01,12,129.19,92.81,176.52,25.28,3,low
Beans (mixed),Butere,Western,Retail,chronos,2027-06-01,12,128.67,87.43,184.07,25.28,3,low
Beans (mixed),Eldoret,Rift Valley,Retail,chronos,2026-07-01,3,203.1,185.1,215.11,8.31,3,high
Beans (mixed),Eldoret,Rift Valley,Retail,chronos,2026-08-01,3,201.1,179.09,216.11,8.31,3,high
Beans (mixed),Eldoret,Rift Valley,Retail,chronos,2026-09-01,3,197.1,174.99,213.51,8.31,3,high
Beans (mixed),Eldoret,Rift Valley,Retail,chronos,2026-07-01,6,202.1,183.09,215.31,8.31,3,high
Beans (mixed),Eldoret,Rift Valley,Retail,chronos,2026-08-01,6,199.6,175.09,215.21,8.31,3,high
Beans (mixed),Eldoret,Rift Valley,Retail,chronos,2026-09-01,6,196.6,171.99,214.51,8.31,3,high
Beans (mixed),Eldoret,Rift Valley,Retail,chronos,2026-10-01,6,194.1,169.59,218.11,8.31,3,high
Beans (mixed),Eldoret,Rift Valley,Retail,chronos,2026-11-01,6,188.1,166.99,214.11,8.31,3,high
Beans (mixed),Eldoret,Rift Valley,Retail,chronos,2026-12-01,6,188.6,156.88,214.21,8.31,3,high
Beans (mixed),Eldoret,Rift Valley,Retail,chronos,2026-07-01,12,200.1,185.1,215.11,8.31,3,high
Beans (mixed),Eldoret,Rift Valley,Retail,chronos,2026-08-01,12,195.1,178.99,213.21,8.31,3,high
Beans (mixed),Eldoret,Rift Valley,Retail,chronos,2026-09-01,12,194.6,170.59,216.31,8.31,3,high
Beans (mixed),Eldoret,Rift Valley,Retail,chronos,2026-10-01,12,192.6,160.68,215.11,8.31,3,high
Beans (mixed),Eldoret,Rift Valley,Retail,chronos,2026-11-01,12,185.1,157.08,210.61,8.31,3,high
Beans (mixed),Eldoret,Rift Valley,Retail,chronos,2026-12-01,12,181.59,150.98,214.21,8.31,3,high
Beans (mixed),Eldoret,Rift Valley,Retail,chronos,2027-01-01,12,181.09,142.07,216.21,8.31,3,high
Beans (mixed),Eldoret,Rift Valley,Retail,chronos,2027-02-01,12,175.59,140.97,214.21,8.31,3,high
Beans (mixed),Eldoret,Rift Valley,Retail,chronos,2027-03-01,12,172.59,138.97,210.61,8.31,3,high
Beans (mixed),Eldoret,Rift Valley,Retail,chronos,2027-04-01,12,171.09,134.97,213.51,8.31,3,high
Beans (mixed),Eldoret,Rift Valley,Retail,chronos,2027-05-01,12,169.09,137.07,222.21,8.31,3,high
Beans (mixed),Eldoret,Rift Valley,Retail,chronos,2027-06-01,12,162.08,130.87,218.21,8.31,3,high
Beans (mixed),Embu-Mbeere,Eastern,Retail,chronos,2026-08-01,3,130.15,118.04,142.33,8.08,2,high
Beans (mixed),Embu-Mbeere,Eastern,Retail,chronos,2026-09-01,3,130.15,118.04,146.95,8.08,2,high
Beans (mixed),Embu-Mbeere,Eastern,Retail,chronos,2026-10-01,3,127.88,115.01,148.61,8.08,2,high
Beans (mixed),Embu-Mbeere,Eastern,Retail,chronos,2026-08-01,6,128.26,118.04,142.33,8.08,2,high
Beans (mixed),Embu-Mbeere,Eastern,Retail,chronos,2026-09-01,6,125.99,113.5,145.36,8.08,2,high
Beans (mixed),Embu-Mbeere,Eastern,Retail,chronos,2026-10-01,6,127.5,113.5,144.6,8.08,2,high
Beans (mixed),Embu-Mbeere,Eastern,Retail,chronos,2026-11-01,6,127.88,112.59,143.09,8.08,2,high
Beans (mixed),Embu-Mbeere,Eastern,Retail,chronos,2026-12-01,6,127.88,111.23,144.83,8.08,2,high
Beans (mixed),Embu-Mbeere,Eastern,Retail,chronos,2027-01-01,6,129.77,109.64,149.06,8.08,2,high
Beans (mixed),Embu-Mbeere,Eastern,Retail,chronos,2026-08-01,12,127.88,118.04,139.98,8.08,2,high
Beans (mixed),Embu-Mbeere,Eastern,Retail,chronos,2026-09-01,12,130.15,114.11,146.04,8.08,2,high
Beans (mixed),Embu-Mbeere,Eastern,Retail,chronos,2026-10-01,12,130.15,111.15,146.04,8.08,2,high
Beans (mixed),Embu-Mbeere,Eastern,Retail,chronos,2026-11-01,12,128.63,108.05,146.95,8.08,2,high
Beans (mixed),Embu-Mbeere,Eastern,Retail,chronos,2026-12-01,12,129.01,108.81,147.85,8.08,2,high
Beans (mixed),Embu-Mbeere,Eastern,Retail,chronos,2027-01-01,12,132.42,108.05,150.65,8.08,2,high
Beans (mixed),Embu-Mbeere,Eastern,Retail,chronos,2027-02-01,12,130.15,109.72,147.63,8.08,2,high
Beans (mixed),Embu-Mbeere,Eastern,Retail,chronos,2027-03-01,12,129.01,104.27,150.65,8.08,2,high
Beans (mixed),Embu-Mbeere,Eastern,Retail,chronos,2027-04-01,12,129.39,103.59,152.09,8.08,2,high
Beans (mixed),Embu-Mbeere,Eastern,Retail,chronos,2027-05-01,12,128.63,104.95,155.19,8.08,2,high
Beans (mixed),Embu-Mbeere,Eastern,Retail,chronos,2027-06-01,12,129.01,101.32,156.71,8.08,2,high
Beans (mixed),Embu-Mbeere,Eastern,Retail,chronos,2027-07-01,12,128.63,101.92,152.47,8.08,2,high
Beans (mixed),Gakoromere,Eastern,Retail,chronos,2026-07-01,3,123.29,116.4,136.98,4.22,3,high
Beans (mixed),Gakoromere,Eastern,Retail,chronos,2026-08-01,3,123.29,114.78,139.53,4.22,3,high
Beans (mixed),Gakoromere,Eastern,Retail,chronos,2026-09-01,3,123.71,111.3,144.63,4.22,3,high
Beans (mixed),Gakoromere,Eastern,Retail,chronos,2026-07-01,6,123.29,118.19,134.34,4.22,3,high
Beans (mixed),Gakoromere,Eastern,Retail,chronos,2026-08-01,6,124.14,114.78,136.89,4.22,3,high
Beans (mixed),Gakoromere,Eastern,Retail,chronos,2026-09-01,6,123.29,108.83,141.14,4.22,3,high
Beans (mixed),Gakoromere,Eastern,Retail,chronos,2026-10-01,6,123.29,105.43,145.56,4.22,3,high
Beans (mixed),Gakoromere,Eastern,Retail,chronos,2026-11-01,6,123.29,103.73,146.58,4.22,3,high
Beans (mixed),Gakoromere,Eastern,Retail,chronos,2026-12-01,6,123.29,98.54,148.11,4.22,3,high
Beans (mixed),Gakoromere,Eastern,Retail,chronos,2026-07-01,12,123.29,116.48,133.49,4.22,3,high
Beans (mixed),Gakoromere,Eastern,Retail,chronos,2026-08-01,12,123.29,113.0,138.68,4.22,3,high
Beans (mixed),Gakoromere,Eastern,Retail,chronos,2026-09-01,12,123.29,108.83,141.99,4.22,3,high
Beans (mixed),Gakoromere,Eastern,Retail,chronos,2026-10-01,12,123.29,101.86,141.57,4.22,3,high
Beans (mixed),Gakoromere,Eastern,Retail,chronos,2026-11-01,12,121.59,100.33,140.46,4.22,3,high
Beans (mixed),Gakoromere,Eastern,Retail,chronos,2026-12-01,12,119.46,99.48,145.56,4.22,3,high
Beans (mixed),Gakoromere,Eastern,Retail,chronos,2027-01-01,12,120.31,90.38,144.63,4.22,3,high
Beans (mixed),Gakoromere,Eastern,Retail,chronos,2027-02-01,12,120.74,88.09,145.39,4.22,3,high
Beans (mixed),Gakoromere,Eastern,Retail,chronos,2027-03-01,12,116.48,89.28,143.86,4.22,3,high
Beans (mixed),Gakoromere,Eastern,Retail,chronos,2027-04-01,12,115.63,82.39,147.18,4.22,3,high
Beans (mixed),Gakoromere,Eastern,Retail,chronos,2027-05-01,12,114.78,77.37,148.28,4.22,3,high
Beans (mixed),Gakoromere,Eastern,Retail,chronos,2027-06-01,12,110.96,72.95,141.65,4.22,3,high
Beans (mixed),Gatundu,Central,Retail,chronos,2026-07-01,3,146.12,136.41,155.74,2.99,3,high
Beans (mixed),Gatundu,Central,Retail,chronos,2026-08-01,3,146.12,136.23,157.67,2.99,3,high
Beans (mixed),Gatundu,Central,Retail,chronos,2026-09-01,3,146.58,132.47,157.57,2.99,3,high
Beans (mixed),Gatundu,Central,Retail,chronos,2026-07-01,6,146.58,135.5,154.83,2.99,3,high
Beans (mixed),Gatundu,Central,Retail,chronos,2026-08-01,6,145.21,133.76,156.75,2.99,3,high
Beans (mixed),Gatundu,Central,Retail,chronos,2026-09-01,6,143.83,128.26,154.83,2.99,3,high
Beans (mixed),Gatundu,Central,Retail,chronos,2026-10-01,6,144.75,124.5,157.57,2.99,3,high
Beans (mixed),Gatundu,Central,Retail,chronos,2026-11-01,6,146.58,122.49,160.51,2.99,3,high
Beans (mixed),Gatundu,Central,Retail,chronos,2026-12-01,6,147.5,124.59,166.0,2.99,3,high
Beans (mixed),Gatundu,Central,Retail,chronos,2026-07-01,12,144.75,133.66,155.74,2.99,3,high
Beans (mixed),Gatundu,Central,Retail,chronos,2026-08-01,12,144.75,133.66,155.83,2.99,3,high
Beans (mixed),Gatundu,Central,Retail,chronos,2026-09-01,12,144.29,130.0,157.67,2.99,3,high
Beans (mixed),Gatundu,Central,Retail,chronos,2026-10-01,12,143.83,130.55,157.67,2.99,3,high
Beans (mixed),Gatundu,Central,Retail,chronos,2026-11-01,12,144.75,130.0,162.25,2.99,3,high
