commodity,market,pricetype,region,current_volatility_pct,median_volatility_pct,trend
Maize,Githurai,Retail,—,11.0,10.9,stable
Beans (mixed),Nanyuki,Retail,—,10.8,11.0,stable
Maize,Kakamega,Retail,—,10.6,16.5,falling
Beans (dry),Kitui,Wholesale,Eastern,10.6,11.6,stable
Maize,Mulot,Retail,—,10.3,15.1,falling
Maize,Kongowea,Retail,—,10.3,9.3,stable
Beans (mixed),Kiriaini,Retail,—,10.3,11.6,stable
Beans (mixed),Nyeri-Kieni,Retail,—,10.2,9.9,stable
Beans (mixed),Siaya,Retail,—,10.1,10.5,stable
Maize,Kabarnet,Retail,—,10.1,17.1,falling
Maize,Kisumu,Wholesale,Nyanza,10.0,13.5,falling
Maize,Chuka Town,Retail,—,9.9,8.8,stable
Maize,Turbo,Retail,—,9.8,14.8,falling
Beans (mixed),Nyahururu,Retail,—,9.7,12.5,falling
Beans (dry),Kitale,Wholesale,—,9.6,15.6,falling
Beans (mixed),Kerugoya,Retail,—,9.5,11.6,stable
Maize,Kianjai,Retail,—,9.5,18.8,falling
Maize,Isiolo,Retail,Eastern,9.5,7.3,rising
Beans (mixed),Butere,Retail,—,9.5,11.9,falling
Beans (mixed),Kitale,Retail,—,9.5,12.1,falling
Beans (mixed),Turbo,Retail,—,9.4,13.1,falling
Maize,Kibauni Kilifi,Retail,—,9.3,15.5,falling
Maize,Nyeri-Kieni,Retail,—,9.2,11.3,stable
Beans (mixed),Mumias,Retail,—,9.2,11.1,stable
Beans (mixed),Kangemi,Retail,—,9.1,23.2,falling
Maize,Mumias,Retail,—,9.1,17.9,falling
Maize,Soko Mjinga,Retail,—,9.1,14.6,falling
Beans (mixed),Gikomba,Retail,—,9.1,12.9,falling
Maize,Kalundu,Retail,—,9.0,13.0,falling
Maize,Majengo,Retail,—,9.0,13.6,falling
Beans (mixed),Voi,Retail,—,8.9,8.9,stable
Maize,Laikipia,Retail,—,8.8,11.8,falling
Beans (mixed),Busia Town,Retail,—,8.7,9.2,stable
Beans (mixed),Chuka Town,Retail,—,8.7,9.9,stable
Maize,Kapsabet,Retail,—,8.7,15.6,falling
Maize,Kitale,Retail,—,8.6,20.1,falling
Beans (mixed),Engineer,Retail,—,8.6,14.6,falling
Beans (mixed),Siakago,Retail,—,8.6,10.6,stable
Maize,Baringo,Retail,—,8.4,12.1,falling
Maize,Homabay,Retail,—,8.2,14.1,falling
Beans (mixed),Homabay,Retail,—,8.2,9.5,stable
Beans (mixed),Isiolo Town,Retail,—,8.2,17.8,falling
Beans (mixed),Kongowea,Retail,—,8.1,13.3,falling
Maize,Mbale,Retail,—,8.1,20.5,falling
Maize,Bomet,Retail,—,7.9,14.2,falling
Maize,Kayole,Retail,—,7.9,12.9,falling
Maize,Marsabit Town,Retail,—,7.9,11.3,falling
Maize meal,Nairobi,Retail,Nairobi,7.8,8.7,stable
Maize,Migori,Retail,—,7.8,19.4,falling
Maize,Bungoma Town,Retail,—,7.8,17.5,falling
Maize,Embu-Mbeere,Retail,—,7.7,18.0,falling
Beans (mixed),Bomet,Retail,—,7.6,13.7,falling
Maize,Kiritiri,Retail,—,7.5,19.8,falling
Maize,Butere,Retail,—,7.5,17.7,falling
Maize,Gakoromere,Retail,—,7.5,14.7,falling
Beans (mixed),Kianjai,Retail,—,7.3,16.3,falling
Maize,Gatundu,Retail,—,7.3,10.8,falling
Maize,Garissa,Wholesale,—,7.3,19.6,falling
Maize,Toi,Retail,—,7.3,14.5,falling
Maize,Makuyu,Retail,—,7.3,16.0,falling
Beans (mixed),Karatina,Retail,—,7.3,10.8,falling
Beans (mixed),Kimulot,Retail,—,7.2,10.2,falling
Maize,Maua,Retail,—,7.1,12.1,falling
Beans (mixed),Embu-Mbeere,Retail,—,7.0,11.1,falling
Beans (mixed),Nyabite,Retail,—,6.9,14.1,falling
Maize,Kimulot,Retail,—,6.8,12.8,falling
Beans (mixed),Bungoma Town,Retail,—,6.7,11.8,falling
Maize,Narok,Retail,—,6.6,13.4,falling
Maize,Engineer,Retail,—,6.6,5.6,stable
Maize,Siakago,Retail,—,6.6,19.8,falling
Maize,Kerugoya,Retail,—,6.5,17.2,falling
Maize,Busia Town,Retail,—,6.4,20.9,falling
Maize,Makutano,Retail,—,6.3,19.1,falling
Maize,Wajir Town,Retail,—,6.3,10.2,falling
Maize,Tharaka Nithi,Retail,—,6.2,13.7,falling
Maize,Kiboswa,Retail,—,6.2,15.1,falling
Maize,Voi,Retail,—,6.1,16.2,falling
Maize,Wajir,Retail,North Eastern,5.8,5.8,stable
Maize,Kilifi,Retail,—,5.8,8.2,falling
Maize,Hola,Retail,—,5.8,12.0,falling
Beans (mixed),Mulot,Retail,—,5.7,9.9,falling
Maize,Kibuye,Retail,—,5.7,12.6,falling
Maize,Gikomba,Retail,—,5.7,18.7,falling
Beans (mixed),Marsabit Town,Retail,—,5.7,14.9,falling
Maize,Nakuru Town,Retail,—,5.6,12.1,falling
Beans (mixed),Kilifi,Retail,—,5.6,6.0,stable
Beans (mixed),Kapsabet,Retail,—,5.6,10.3,falling
Beans (mixed),Taita Taveta,Retail,—,5.6,3.9,rising
Beans (mixed),Sotik,Retail,—,5.5,11.0,falling
Maize,Wote,Retail,—,5.5,13.9,falling
Maize,Isiolo Town,Retail,—,5.5,20.8,falling
Maize,Mwembe Tayari,Retail,—,5.5,9.2,falling
Maize,Mandera,Retail,North Eastern,5.4,4.5,stable
Beans (mixed),Gakoromere,Retail,—,5.4,9.5,falling
Beans (mixed),Garissa Town,Retail,—,5.2,9.6,falling
Beans (mixed),Ol Kalou,Retail,—,4.7,9.8,falling
Beans (mixed),Migori,Retail,—,4.6,14.1,falling
Beans (mixed),Wote,Retail,—,4.6,6.6,falling
Maize,Marsabit,Retail,North Eastern,4.6,6.1,falling
Beans (mixed),Ahero,Retail,—,4.5,8.7,falling
Maize,Ahero,Retail,—,4.4,13.4,falling
Beans (mixed),Marsabit,Retail,North Eastern,4.3,5.6,falling
Maize,Turkana,Retail,—,4.2,6.4,falling
Maize,Nyeri,Retail,—,4.0,16.3,falling
Maize,Kawangware,Retail,—,4.0,16.7,falling
Beans (mixed),Kitui,Retail,Eastern,3.9,8.5,falling
Beans (mixed),Toi,Retail,—,3.9,5.5,falling
Maize,Kitui,Retail,Eastern,3.8,11.2,falling
Beans (mixed),Kayole,Retail,—,3.8,7.5,falling
Maize,Ol Kalou,Retail,—,3.7,14.2,falling
Maize,Mkunguni,Retail,—,3.7,12.1,falling
Beans (mixed),Makuyu,Retail,—,3.6,11.2,falling
Beans (mixed),Majengo,Retail,—,3.5,9.8,falling
Beans (mixed),Mbale,Retail,—,3.5,11.0,falling
Sorghum,Garissa,Wholesale,—,3.5,17.5,falling
Maize,Bumala,Retail,—,3.4,15.2,falling
Maize,Karatina,Retail,—,3.4,12.0,falling
Beans (mixed),Kwale,Retail,—,3.3,13.1,falling
Maize,Samburu,Retail,—,3.2,6.7,falling
Beans (mixed),Thika,Retail,—,3.1,7.4,falling
Maize,Tana River,Retail,—,3.1,12.6,falling
Maize,Kajiado,Retail,—,3.1,9.6,falling
Beans (mixed),Machakos Town,Retail,—,3.1,10.0,falling
Maize,Siaya,Retail,—,3.0,12.9,falling
Beans (mixed),Kiambu,Retail,—,3.0,8.4,falling
Beans (mixed),Gatundu,Retail,—,2.9,8.7,falling
Beans (mixed),Lamu,Retail,—,2.8,5.1,falling
Beans (mixed),Nyeri,Retail,—,2.7,9.1,falling
Beans (mixed),Mwembe Tayari,Retail,—,2.7,11.6,falling
Beans (mixed),Kalundu,Retail,—,2.7,8.3,falling
Beans (mixed),Daraja Mbili,Retail,—,2.6,14.3,falling
Beans (mixed),Makueni,Retail,Eastern,2.6,7.9,falling
Maize,Makueni,Retail,Eastern,2.4,10.7,falling
Maize,Lamu,Retail,—,2.4,15.0,falling
Beans (mixed),Burma,Retail,—,2.4,18.3,falling
Maize,Machakos Town,Retail,—,2.4,14.4,falling
Beans (mixed),Kabarnet,Retail,—,2.3,10.4,falling
Maize,Taita Taveta,Retail,—,2.2,6.7,falling
Maize,Garissa,Retail,—,2.1,7.9,falling
Beans (mixed),Nakuru Town,Retail,—,1.4,5.0,falling
Beans (mixed),Kibuye,Retail,—,1.3,7.1,falling
Beans (mixed),"Nairobi, lower region",Retail,—,1.2,3.6,falling
Beans (mixed),Kiboswa,Retail,—,0.8,10.6,falling
Beans (dry),Nairobi,Wholesale,Nairobi,0.3,8.3,falling
