commodity,market,pricetype,forecast_date,horizon_months,forecast_price_kes,forecast_lower,forecast_upper,model_mape,reliable
Maize,Nakuru,Wholesale,2022-06-01,12,33.33,25.44,40.94,10.26,True
Maize,Nakuru,Wholesale,2022-07-01,12,33.78,26.33,41.85,10.26,True
Maize,Nakuru,Wholesale,2022-08-01,12,31.64,24.75,39.5,10.26,True
Maize,Nakuru,Wholesale,2022-09-01,12,29.66,22.51,37.3,10.26,True
Maize,Nakuru,Wholesale,2022-10-01,12,29.19,21.35,36.89,10.26,True
Maize,Nakuru,Wholesale,2022-11-01,12,29.19,21.98,36.63,10.26,True
Maize,Nakuru,Wholesale,2022-12-01,12,27.52,20.52,35.11,10.26,True
Maize,Nakuru,Wholesale,2023-01-01,12,26.99,19.44,35.14,10.26,True
Maize,Nakuru,Wholesale,2023-02-01,12,27.25,19.36,34.86,10.26,True
Maize,Nakuru,Wholesale,2023-03-01,12,29.47,22.07,36.87,10.26,True
Maize,Nakuru,Wholesale,2023-04-01,12,31.8,24.87,39.24,10.26,True
Maize,Mombasa,Wholesale,2021-12-01,3,33.19,25.68,40.43,14.16,True
Maize,Mombasa,Wholesale,2022-01-01,3,25.32,17.55,32.61,14.16,True
Maize,Mombasa,Wholesale,2022-02-01,3,22.51,14.4,29.88,14.16,True
Maize,Mombasa,Wholesale,2021-12-01,6,33.19,25.3,40.68,14.16,True
Maize,Mombasa,Wholesale,2022-01-01,6,25.32,17.39,32.93,14.16,True
Maize,Mombasa,Wholesale,2022-02-01,6,22.51,14.94,29.78,14.16,True
Maize,Mombasa,Wholesale,2022-03-01,6,43.75,36.17,51.27,14.16,True
Maize,Mombasa,Wholesale,2022-04-01,6,33.96,26.29,41.12,14.16,True
Maize,Mombasa,Wholesale,2022-05-01,6,35.28,27.71,43.0,14.16,True
Maize,Mombasa,Wholesale,2021-12-01,12,33.19,25.21,40.64,14.16,True
Maize,Mombasa,Wholesale,2022-01-01,12,25.32,17.96,32.83,14.16,True
Maize,Mombasa,Wholesale,2022-02-01,12,22.51,15.53,30.12,14.16,True
Maize,Mombasa,Wholesale,2022-03-01,12,43.75,35.87,51.36,14.16,True
Maize,Mombasa,Wholesale,2022-04-01,12,33.96,26.27,41.35,14.16,True
Maize,Mombasa,Wholesale,2022-05-01,12,35.28,28.22,43.02,14.16,True
Maize,Mombasa,Wholesale,2022-06-01,12,35.91,27.85,43.0,14.16,True
Maize,Mombasa,Wholesale,2022-07-01,12,37.78,30.58,45.34,14.16,True
Maize,Mombasa,Wholesale,2022-08-01,12,28.96,21.42,36.48,14.16,True
Maize,Mombasa,Wholesale,2022-09-01,12,34.74,27.06,42.02,14.16,True
Maize,Mombasa,Wholesale,2022-10-01,12,32.44,24.79,40.58,14.16,True
Maize,Mombasa,Wholesale,2022-11-01,12,32.37,25.43,40.46,14.16,True
Maize,Kisumu,Wholesale,2022-03-01,3,25.62,18.42,33.42,16.67,True
Maize,Kisumu,Wholesale,2022-04-01,3,52.23,45.11,59.33,16.67,True
Maize,Kisumu,Wholesale,2022-05-01,3,41.23,33.95,48.88,16.67,True
Maize,Kisumu,Wholesale,2022-03-01,6,25.62,18.61,33.51,16.67,True
Maize,Kisumu,Wholesale,2022-04-01,6,52.23,44.86,59.63,16.67,True
Maize,Kisumu,Wholesale,2022-05-01,6,41.23,33.89,48.87,16.67,True
Maize,Kisumu,Wholesale,2022-06-01,6,48.99,41.37,56.47,16.67,True
Maize,Kisumu,Wholesale,2022-07-01,6,34.3,27.5,41.93,16.67,True
Maize,Kisumu,Wholesale,2022-08-01,6,42.46,34.62,50.58,16.67,True
Maize,Kisumu,Wholesale,2022-03-01,12,25.62,18.72,33.27,16.67,True
Maize,Kisumu,Wholesale,2022-04-01,12,52.23,44.56,59.5,16.67,True
Maize,Kisumu,Wholesale,2022-05-01,12,41.23,33.41,48.67,16.67,True
Maize,Kisumu,Wholesale,2022-06-01,12,48.99,41.79,56.15,16.67,True
Maize,Kisumu,Wholesale,2022-07-01,12,34.3,27.39,42.01,16.67,True
Maize,Kisumu,Wholesale,2022-08-01,12,42.46,35.46,50.11,16.67,True
Maize,Kisumu,Wholesale,2022-09-01,12,35.53,28.33,42.98,16.67,True
Maize,Kisumu,Wholesale,2022-10-01,12,39.98,32.48,47.31,16.67,True
Maize,Kisumu,Wholesale,2022-11-01,12,40.24,32.57,47.28,16.67,True
Maize,Kisumu,Wholesale,2022-12-01,12,39.44,31.86,46.66,16.67,True
Maize,Kisumu,Wholesale,2023-01-01,12,38.27,31.14,45.41,16.67,True
Maize,Kisumu,Wholesale,2023-02-01,12,44.57,37.36,52.06,16.67,True
Maize,Eldoret,Wholesale,2022-12-01,3,33.2,24.65,41.31,34.03,False
Maize,Eldoret,Wholesale,2023-01-01,3,35.27,26.78,43.73,34.03,False
Maize,Eldoret,Wholesale,2023-02-01,3,36.97,28.55,45.31,34.03,False
Maize,Eldoret,Wholesale,2022-12-01,6,33.2,24.63,41.0,34.03,False
Maize,Eldoret,Wholesale,2023-01-01,6,35.27,26.86,43.83,34.03,False
Maize,Eldoret,Wholesale,2023-02-01,6,36.97,27.87,45.84,34.03,False
Maize,Eldoret,Wholesale,2023-03-01,6,37.11,28.55,45.68,34.03,False
Maize,Eldoret,Wholesale,2023-04-01,6,40.29,32.1,48.91,34.03,False
Maize,Eldoret,Wholesale,2023-05-01,6,43.49,34.86,52.25,34.03,False
Maize,Eldoret,Wholesale,2022-12-01,12,33.2,24.88,41.49,34.03,False
Maize,Eldoret,Wholesale,2023-01-01,12,35.27,26.34,44.08,34.03,False
Maize,Eldoret,Wholesale,2023-02-01,12,36.97,28.54,45.19,34.03,False
Maize,Eldoret,Wholesale,2023-03-01,12,37.11,28.76,45.69,34.03,False
Maize,Eldoret,Wholesale,2023-04-01,12,40.29,31.26,49.13,34.03,False
Maize,Eldoret,Wholesale,2023-05-01,12,43.49,34.72,51.78,34.03,False
Maize,Eldoret,Wholesale,2023-06-01,12,45.77,37.34,54.42,34.03,False
Maize,Eldoret,Wholesale,2023-07-01,12,46.01,36.72,54.07,34.03,False
Maize,Eldoret,Wholesale,2023-08-01,12,44.18,35.23,52.78,34.03,False
Maize,Eldoret,Wholesale,2023-09-01,12,41.31,32.72,50.16,34.03,False
Maize,Eldoret,Wholesale,2023-10-01,12,38.35,29.58,46.85,34.03,False
Maize,Eldoret,Wholesale,2023-11-01,12,38.21,29.83,46.3,34.03,False
Maize (white),Nairobi,Wholesale,2020-04-01,3,32.55,25.2,39.71,16.4,True
Maize (white),Nairobi,Wholesale,2020-05-01,3,33.98,26.56,41.58,16.4,True
Maize (white),Nairobi,Wholesale,2020-06-01,3,40.69,33.49,48.57,16.4,True
Maize (white),Nairobi,Wholesale,2020-04-01,6,32.55,25.44,39.26,16.4,True
Maize (white),Nairobi,Wholesale,2020-05-01,6,33.98,26.96,41.18,16.4,True
Maize (white),Nairobi,Wholesale,2020-06-01,6,40.69,33.18,48.1,16.4,True
Maize (white),Nairobi,Wholesale,2020-07-01,6,45.4,37.88,52.96,16.4,True
Maize (white),Nairobi,Wholesale,2020-08-01,6,34.29,27.04,41.61,16.4,True
Maize (white),Nairobi,Wholesale,2020-09-01,6,32.95,25.89,40.12,16.4,True
Maize (white),Nairobi,Wholesale,2020-04-01,12,32.55,24.98,39.41,16.4,True
Maize (white),Nairobi,Wholesale,2020-05-01,12,33.98,27.07,41.47,16.4,True
Maize (white),Nairobi,Wholesale,2020-06-01,12,40.69,33.13,47.85,16.4,True
Maize (white),Nairobi,Wholesale,2020-07-01,12,45.4,37.99,52.76,16.4,True
Maize (white),Nairobi,Wholesale,2020-08-01,12,34.29,26.99,41.14,16.4,True
Maize (white),Nairobi,Wholesale,2020-09-01,12,32.95,26.02,39.82,16.4,True
Maize (white),Nairobi,Wholesale,2020-10-01,12,33.97,26.44,41.2,16.4,True
Maize (white),Nairobi,Wholesale,2020-11-01,12,35.59,28.04,42.21,16.4,True
Maize (white),Nairobi,Wholesale,2020-12-01,12,38.05,30.56,45.43,16.4,True
Maize (white),Nairobi,Wholesale,2021-01-01,12,31.68,24.7,38.84,16.4,True
Maize (white),Nairobi,Wholesale,2021-02-01,12,27.18,19.7,34.25,16.4,True
Maize (white),Nairobi,Wholesale,2021-03-01,12,40.91,33.91,48.06,16.4,True
Maize (white),Nakuru,Wholesale,2020-04-01,3,12.82,5.75,20.33,71.77,False
Maize (white),Nakuru,Wholesale,2020-05-01,3,81.82,74.54,89.37,71.77,False
Maize (white),Nakuru,Wholesale,2020-06-01,3,36.31,29.16,44.1,71.77,False
Maize (white),Nakuru,Wholesale,2020-04-01,6,12.82,5.38,20.7,71.77,False
Maize (white),Nakuru,Wholesale,2020-05-01,6,81.82,74.5,89.47,71.77,False
Maize (white),Nakuru,Wholesale,2020-06-01,6,36.31,28.69,43.72,71.77,False
Maize (white),Nakuru,Wholesale,2020-07-01,6,50.18,42.9,57.69,71.77,False
Maize (white),Nakuru,Wholesale,2020-08-01,6,15.25,8.25,22.26,71.77,False
Maize (white),Nakuru,Wholesale,2020-09-01,6,-19.24,-26.31,-11.58,71.77,False
Maize (white),Nakuru,Wholesale,2020-04-01,12,12.82,5.25,20.5,71.77,False
Maize (white),Nakuru,Wholesale,2020-05-01,12,81.82,74.36,89.45,71.77,False
Maize (white),Nakuru,Wholesale,2020-06-01,12,36.31,28.53,43.21,71.77,False
Maize (white),Nakuru,Wholesale,2020-07-01,12,50.18,42.56,57.8,71.77,False
Maize (white),Nakuru,Wholesale,2020-08-01,12,15.25,7.94,23.01,71.77,False
Maize (white),Nakuru,Wholesale,2020-09-01,12,-19.24,-26.12,-11.85,71.77,False
Maize (white),Nakuru,Wholesale,2020-10-01,12,34.61,27.28,42.91,71.77,False
Maize (white),Nakuru,Wholesale,2020-11-01,12,47.85,40.23,55.67,71.77,False
Maize (white),Nakuru,Wholesale,2020-12-01,12,44.0,36.61,51.34,71.77,False
Maize (white),Nakuru,Wholesale,2021-01-01,12,38.57,31.59,46.34,71.77,False
Maize (white),Nakuru,Wholesale,2021-02-01,12,21.05,13.83,28.53,71.77,False
Maize (white),Nakuru,Wholesale,2021-03-01,12,-5.33,-12.89,1.95,71.77,False
Maize (white),Mombasa,Wholesale,2020-04-01,3,31.7,24.53,39.16,15.73,True
Maize (white),Mombasa,Wholesale,2020-05-01,3,40.14,32.81,47.53,15.73,True
Maize (white),Mombasa,Wholesale,2020-06-01,3,39.73,31.52,46.83,15.73,True
Maize (white),Mombasa,Wholesale,2020-04-01,6,31.7,24.88,39.18,15.73,True
Maize (white),Mombasa,Wholesale,2020-05-01,6,40.14,32.45,47.93,15.73,True
Maize (white),Mombasa,Wholesale,2020-06-01,6,39.73,32.79,46.93,15.73,True
Maize (white),Mombasa,Wholesale,2020-07-01,6,42.8,35.1,50.05,15.73,True
Maize (white),Mombasa,Wholesale,2020-08-01,6,34.23,26.9,41.6,15.73,True
Maize (white),Mombasa,Wholesale,2020-09-01,6,35.8,28.63,43.35,15.73,True
Maize (white),Mombasa,Wholesale,2020-04-01,12,31.7,24.52,39.05,15.73,True
Maize (white),Mombasa,Wholesale,2020-05-01,12,40.14,32.76,47.75,15.73,True
Maize (white),Mombasa,Wholesale,2020-06-01,12,39.73,31.87,46.66,15.73,True
Maize (white),Mombasa,Wholesale,2020-07-01,12,42.8,35.39,50.03,15.73,True
Maize (white),Mombasa,Wholesale,2020-08-01,12,34.23,26.6,41.29,15.73,True
Maize (white),Mombasa,Wholesale,2020-09-01,12,35.8,28.3,42.38,15.73,True
Maize (white),Mombasa,Wholesale,2020-10-01,12,31.05,23.78,38.71,15.73,True
Maize (white),Mombasa,Wholesale,2020-11-01,12,26.84,19.68,33.89,15.73,True
Maize (white),Mombasa,Wholesale,2020-12-01,12,36.2,28.53,43.16,15.73,True
Maize (white),Mombasa,Wholesale,2021-01-01,12,46.75,39.77,54.65,15.73,True
Maize (white),Mombasa,Wholesale,2021-02-01,12,25.18,17.84,31.99,15.73,True
Maize (white),Mombasa,Wholesale,2021-03-01,12,33.84,25.92,41.03,15.73,True
Maize (white),Kisumu,Wholesale,2019-11-01,3,57.52,49.25,65.54,24.04,True
Maize (white),Kisumu,Wholesale,2019-12-01,3,44.46,36.66,52.13,24.04,True
Maize (white),Kisumu,Wholesale,2020-01-01,3,35.15,26.98,43.22,24.04,True
Maize (white),Kisumu,Wholesale,2019-11-01,6,57.52,49.66,65.74,24.04,True
Maize (white),Kisumu,Wholesale,2019-12-01,6,44.46,37.31,52.74,24.04,True
Maize (white),Kisumu,Wholesale,2020-01-01,6,35.15,27.16,43.19,24.04,True
Maize (white),Kisumu,Wholesale,2020-02-01,6,26.43,19.4,34.63,24.04,True
Maize (white),Kisumu,Wholesale,2020-03-01,6,45.2,37.78,52.5,24.04,True
Maize (white),Kisumu,Wholesale,2020-04-01,6,26.94,18.3,34.82,24.04,True
Maize (white),Kisumu,Wholesale,2019-11-01,12,57.52,49.53,65.36,24.04,True
Maize (white),Kisumu,Wholesale,2019-12-01,12,44.46,36.47,52.54,24.04,True
Maize (white),Kisumu,Wholesale,2020-01-01,12,35.15,27.43,43.35,24.04,True
Maize (white),Kisumu,Wholesale,2020-02-01,12,26.43,19.25,34.14,24.04,True
Maize (white),Kisumu,Wholesale,2020-03-01,12,45.2,37.85,53.39,24.04,True
Maize (white),Kisumu,Wholesale,2020-04-01,12,26.94,19.74,35.3,24.04,True
Maize (white),Kisumu,Wholesale,2020-05-01,12,45.08,37.07,52.84,24.04,True
Maize (white),Kisumu,Wholesale,2020-06-01,12,57.88,50.3,66.07,24.04,True
Maize (white),Kisumu,Wholesale,2020-07-01,12,52.44,44.73,59.87,24.04,True
Maize (white),Kisumu,Wholesale,2020-08-01,12,30.07,21.89,37.59,24.04,True
Maize (white),Kisumu,Wholesale,2020-09-01,12,29.32,21.52,37.65,24.04,True
Maize (white),Kisumu,Wholesale,2020-10-01,12,22.97,15.58,30.48,24.04,True
Maize (white),Kitui,Retail,2026-06-01,3,56.07,44.6,67.26,7.46,True
Maize (white),Kitui,Retail,2026-07-01,3,59.88,48.23,71.48,7.46,True
Maize (white),Kitui,Retail,2026-08-01,3,57.61,47.32,68.79,7.46,True
Maize (white),Kitui,Retail,2026-06-01,6,56.07,44.49,67.4,7.46,True
Maize (white),Kitui,Retail,2026-07-01,6,59.88,47.8,70.62,7.46,True
Maize (white),Kitui,Retail,2026-08-01,6,57.61,46.5,69.57,7.46,True
Maize (white),Kitui,Retail,2026-09-01,6,60.81,49.71,72.78,7.46,True
Maize (white),Kitui,Retail,2026-10-01,6,61.37,49.82,73.7,7.46,True
Maize (white),Kitui,Retail,2026-11-01,6,57.33,45.41,68.83,7.46,True
Maize (white),Kitui,Retail,2026-06-01,12,56.07,44.43,67.33,7.46,True
Maize (white),Kitui,Retail,2026-07-01,12,59.88,48.38,71.59,7.46,True
Maize (white),Kitui,Retail,2026-08-01,12,57.61,45.6,69.77,7.46,True
Maize (white),Kitui,Retail,2026-09-01,12,60.81,48.76,72.47,7.46,True
Maize (white),Kitui,Retail,2026-10-01,12,61.37,49.79,72.06,7.46,True
Maize (white),Kitui,Retail,2026-11-01,12,57.33,44.99,68.7,7.46,True
Maize (white),Kitui,Retail,2026-12-01,12,59.59,48.41,70.44,7.46,True
Maize (white),Kitui,Retail,2027-01-01,12,60.24,48.82,71.79,7.46,True
Maize (white),Kitui,Retail,2027-02-01,12,53.86,42.14,64.78,7.46,True
Maize (white),Kitui,Retail,2027-03-01,12,55.29,44.0,66.42,7.46,True
Maize (white),Kitui,Retail,2027-04-01,12,54.17,43.05,66.69,7.46,True
Maize (white),Kitui,Retail,2027-05-01,12,57.32,45.82,68.75,7.46,True
Maize (white),Meru,Retail,2026-06-01,3,54.14,40.65,68.27,12.85,True
Maize (white),Meru,Retail,2026-07-01,3,57.51,43.37,72.96,12.85,True
Maize (white),Meru,Retail,2026-08-01,3,55.46,40.2,70.75,12.85,True
Maize (white),Meru,Retail,2026-06-01,6,54.14,39.81,68.35,12.85,True
Maize (white),Meru,Retail,2026-07-01,6,57.51,42.32,73.23,12.85,True
Maize (white),Meru,Retail,2026-08-01,6,55.46,41.23,70.04,12.85,True
Maize (white),Meru,Retail,2026-09-01,6,56.87,42.59,70.46,12.85,True
Maize (white),Meru,Retail,2026-10-01,6,59.63,45.05,73.7,12.85,True
Maize (white),Meru,Retail,2026-11-01,6,60.48,44.88,75.36,12.85,True
Maize (white),Meru,Retail,2026-06-01,12,54.14,39.35,68.2,12.85,True
Maize (white),Meru,Retail,2026-07-01,12,57.51,43.5,71.66,12.85,True
Maize (white),Meru,Retail,2026-08-01,12,55.46,41.11,69.93,12.85,True
Maize (white),Meru,Retail,2026-09-01,12,56.87,42.71,70.94,12.85,True
Maize (white),Meru,Retail,2026-10-01,12,59.63,44.79,74.09,12.85,True
Maize (white),Meru,Retail,2026-11-01,12,60.48,45.41,74.26,12.85,True
Maize (white),Meru,Retail,2026-12-01,12,58.94,44.31,73.77,12.85,True
Maize (white),Meru,Retail,2027-01-01,12,60.07,44.95,74.39,12.85,True
Maize (white),Meru,Retail,2027-02-01,12,54.73,39.34,67.59,12.85,True
Maize (white),Meru,Retail,2027-03-01,12,48.75,34.62,63.03,12.85,True
Maize (white),Meru,Retail,2027-04-01,12,51.05,36.55,65.31,12.85,True
Maize (white),Meru,Retail,2027-05-01,12,52.16,39.09,66.75,12.85,True
Maize (white),Makueni,Retail,2026-06-01,3,58.87,49.29,69.25,4.06,True
Maize (white),Makueni,Retail,2026-07-01,3,61.65,51.55,71.69,4.06,True
Maize (white),Makueni,Retail,2026-08-01,3,58.19,47.72,68.61,4.06,True
Maize (white),Makueni,Retail,2026-06-01,6,58.87,48.9,69.24,4.06,True
Maize (white),Makueni,Retail,2026-07-01,6,61.65,50.29,72.12,4.06,True
Maize (white),Makueni,Retail,2026-08-01,6,58.19,48.52,67.94,4.06,True
Maize (white),Makueni,Retail,2026-09-01,6,60.21,49.5,70.72,4.06,True
Maize (white),Makueni,Retail,2026-10-01,6,60.04,48.77,70.17,4.06,True
Maize (white),Makueni,Retail,2026-11-01,6,60.24,49.15,70.39,4.06,True
Maize (white),Makueni,Retail,2026-06-01,12,58.87,49.31,69.85,4.06,True
Maize (white),Makueni,Retail,2026-07-01,12,61.65,50.74,71.77,4.06,True
Maize (white),Makueni,Retail,2026-08-01,12,58.19,47.87,69.12,4.06,True
Maize (white),Makueni,Retail,2026-09-01,12,60.21,49.47,70.24,4.06,True
Maize (white),Makueni,Retail,2026-10-01,12,60.04,49.5,69.91,4.06,True
Maize (white),Makueni,Retail,2026-11-01,12,60.24,50.05,71.15,4.06,True
Maize (white),Makueni,Retail,2026-12-01,12,61.75,51.51,72.48,4.06,True
Maize (white),Makueni,Retail,2027-01-01,12,60.69,50.57,71.14,4.06,True
Maize (white),Makueni,Retail,2027-02-01,12,58.19,47.91,69.08,4.06,True
Maize (white),Makueni,Retail,2027-03-01,12,54.35,43.6,64.9,4.06,True
Maize (white),Makueni,Retail,2027-04-01,12,55.62,44.75,66.13,4.06,True
Maize (white),Makueni,Retail,2027-05-01,12,60.23,49.67,71.18,4.06,True
Beans (dry),Nairobi,Wholesale,2020-04-01,3,126.35,116.78,135.14,20.09,True
Beans (dry),Nairobi,Wholesale,2020-05-01,3,124.66,115.33,134.61,20.09,True
Beans (dry),Nairobi,Wholesale,2020-06-01,3,65.87,56.13,75.31,20.09,True
Beans (dry),Nairobi,Wholesale,2020-04-01,6,126.35,117.17,135.81,20.09,True
Beans (dry),Nairobi,Wholesale,2020-05-01,6,124.66,115.3,133.93,20.09,True
Beans (dry),Nairobi,Wholesale,2020-06-01,6,65.87,55.82,75.71,20.09,True
Beans (dry),Nairobi,Wholesale,2020-07-01,6,66.8,57.61,76.48,20.09,True
Beans (dry),Nairobi,Wholesale,2020-08-01,6,85.81,76.28,95.55,20.09,True
Beans (dry),Nairobi,Wholesale,2020-09-01,6,116.1,107.1,125.33,20.09,True
Beans (dry),Nairobi,Wholesale,2020-04-01,12,126.35,117.14,135.69,20.09,True
Beans (dry),Nairobi,Wholesale,2020-05-01,12,124.66,115.41,134.05,20.09,True
Beans (dry),Nairobi,Wholesale,2020-06-01,12,65.87,56.99,75.37,20.09,True
Beans (dry),Nairobi,Wholesale,2020-07-01,12,66.8,56.92,76.63,20.09,True
Beans (dry),Nairobi,Wholesale,2020-08-01,12,85.81,75.91,94.81,20.09,True
Beans (dry),Nairobi,Wholesale,2020-09-01,12,116.1,107.45,125.62,20.09,True
Beans (dry),Nairobi,Wholesale,2020-10-01,12,83.33,73.87,92.44,20.09,True
Beans (dry),Nairobi,Wholesale,2020-11-01,12,83.82,75.14,93.48,20.09,True
Beans (dry),Nairobi,Wholesale,2020-12-01,12,123.55,114.42,132.58,20.09,True
Beans (dry),Nairobi,Wholesale,2021-01-01,12,60.01,50.57,69.71,20.09,True
Beans (dry),Nairobi,Wholesale,2021-02-01,12,82.57,73.34,91.68,20.09,True
Beans (dry),Nairobi,Wholesale,2021-03-01,12,73.91,64.75,83.32,20.09,True
Beans (dry),Nakuru,Wholesale,2020-04-01,3,45.74,36.89,54.09,24.62,True
Beans (dry),Nakuru,Wholesale,2020-05-01,3,270.54,262.58,278.37,24.62,True
Beans (dry),Nakuru,Wholesale,2020-06-01,3,208.45,200.28,217.47,24.62,True
Beans (dry),Nakuru,Wholesale,2020-04-01,6,45.74,37.23,54.33,24.62,True
Beans (dry),Nakuru,Wholesale,2020-05-01,6,270.54,262.08,279.09,24.62,True
Beans (dry),Nakuru,Wholesale,2020-06-01,6,208.45,200.19,216.74,24.62,True
Beans (dry),Nakuru,Wholesale,2020-07-01,6,79.83,72.05,87.97,24.62,True
Beans (dry),Nakuru,Wholesale,2020-08-01,6,5.96,-2.96,14.63,24.62,True
Beans (dry),Nakuru,Wholesale,2020-09-01,6,-75.82,-84.65,-67.52,24.62,True
Beans (dry),Nakuru,Wholesale,2020-04-01,12,45.74,36.86,54.8,24.62,True
Beans (dry),Nakuru,Wholesale,2020-05-01,12,270.54,262.66,279.5,24.62,True
Beans (dry),Nakuru,Wholesale,2020-06-01,12,208.45,199.8,216.92,24.62,True
Beans (dry),Nakuru,Wholesale,2020-07-01,12,79.83,71.2,87.76,24.62,True
Beans (dry),Nakuru,Wholesale,2020-08-01,12,5.96,-2.02,14.54,24.62,True
Beans (dry),Nakuru,Wholesale,2020-09-01,12,-75.82,-84.79,-67.39,24.62,True
Beans (dry),Nakuru,Wholesale,2020-10-01,12,86.38,77.11,95.16,24.62,True
Beans (dry),Nakuru,Wholesale,2020-11-01,12,90.12,80.75,98.97,24.62,True
Beans (dry),Nakuru,Wholesale,2020-12-01,12,154.05,145.7,162.65,24.62,True
Beans (dry),Nakuru,Wholesale,2021-01-01,12,163.61,155.05,172.11,24.62,True
Beans (dry),Nakuru,Wholesale,2021-02-01,12,145.37,136.67,153.76,24.62,True
Beans (dry),Nakuru,Wholesale,2021-03-01,12,-186.64,-195.75,-178.14,24.62,True
Beans (dry),Nakuru,Retail,2026-07-01,3,161.38,146.55,178.04,15.17,True
Beans (dry),Nakuru,Retail,2026-08-01,3,159.29,142.98,175.35,15.17,True
Beans (dry),Nakuru,Retail,2026-09-01,3,152.49,135.94,168.77,15.17,True
Beans (dry),Nakuru,Retail,2026-07-01,6,161.38,144.64,177.93,15.17,True
Beans (dry),Nakuru,Retail,2026-08-01,6,159.29,142.57,176.26,15.17,True
Beans (dry),Nakuru,Retail,2026-09-01,6,152.49,135.88,168.28,15.17,True
Beans (dry),Nakuru,Retail,2026-10-01,6,152.45,134.79,169.56,15.17,True
Beans (dry),Nakuru,Retail,2026-11-01,6,147.37,129.96,164.27,15.17,True
Beans (dry),Nakuru,Retail,2026-12-01,6,156.32,139.56,172.45,15.17,True
Beans (dry),Nakuru,Retail,2026-07-01,12,161.38,143.82,178.7,15.17,True
Beans (dry),Nakuru,Retail,2026-08-01,12,159.29,142.78,176.07,15.17,True
Beans (dry),Nakuru,Retail,2026-09-01,12,152.49,136.74,168.2,15.17,True
Beans (dry),Nakuru,Retail,2026-10-01,12,152.45,135.95,169.37,15.17,True
Beans (dry),Nakuru,Retail,2026-11-01,12,147.37,131.76,163.79,15.17,True
Beans (dry),Nakuru,Retail,2026-12-01,12,156.32,139.82,172.32,15.17,True
Beans (dry),Nakuru,Retail,2027-01-01,12,159.77,142.55,176.03,15.17,True
Beans (dry),Nakuru,Retail,2027-02-01,12,165.64,148.14,182.8,15.17,True
Beans (dry),Nakuru,Retail,2027-03-01,12,163.91,148.06,180.92,15.17,True
Beans (dry),Nakuru,Retail,2027-04-01,12,166.05,148.44,182.38,15.17,True
Beans (dry),Nakuru,Retail,2027-05-01,12,170.69,155.04,187.0,15.17,True
Beans (dry),Nakuru,Retail,2027-06-01,12,181.09,163.97,198.12,15.17,True
Beans (dry),Mombasa,Wholesale,2020-04-01,3,85.03,74.46,95.87,28.19,False
Beans (dry),Mombasa,Wholesale,2020-05-01,3,237.49,227.4,249.08,28.19,False
