commodity,market,region,pricetype,strategy,forecast_date,horizon_months,forecast_price_kes,forecast_lower,forecast_upper,test_mape,confidence
Maize,Mombasa,Coast,Wholesale,sarima,2026-04-01,12,52.48,37.16,67.81,18.61,medium
Maize,Mombasa,Coast,Wholesale,sarima,2026-05-01,12,57.64,40.93,74.34,18.61,medium
Maize,Mombasa,Coast,Wholesale,sarima,2026-06-01,12,59.99,42.01,77.96,18.61,medium
Maize,Mombasa,Coast,Wholesale,sarima,2026-07-01,12,59.58,40.41,78.75,18.61,medium
Maize,Mombasa,Coast,Wholesale,sarima,2026-08-01,12,57.67,37.38,77.96,18.61,medium
Maize,Mombasa,Coast,Wholesale,sarima,2026-09-01,12,56.06,34.72,77.41,18.61,medium
Maize,Mombasa,Coast,Wholesale,sarima,2026-10-01,12,58.36,36.0,80.72,18.61,medium
Maize,Mombasa,Coast,Wholesale,sarima,2026-11-01,12,57.68,34.35,81.0,18.61,medium
Maize,Kisumu,Nyanza,Wholesale,sarima,2026-08-01,3,50.67,41.87,59.47,7.85,high
Maize,Kisumu,Nyanza,Wholesale,sarima,2026-09-01,3,51.81,38.77,64.84,7.85,high
Maize,Kisumu,Nyanza,Wholesale,sarima,2026-10-01,3,52.1,36.7,67.49,7.85,high
Maize,Kisumu,Nyanza,Wholesale,sarima,2026-08-01,6,50.67,41.87,59.47,7.85,high
Maize,Kisumu,Nyanza,Wholesale,sarima,2026-09-01,6,51.81,38.77,64.84,7.85,high
Maize,Kisumu,Nyanza,Wholesale,sarima,2026-10-01,6,52.1,36.7,67.49,7.85,high
Maize,Kisumu,Nyanza,Wholesale,sarima,2026-11-01,6,51.7,34.8,68.6,7.85,high
Maize,Kisumu,Nyanza,Wholesale,sarima,2026-12-01,6,54.04,36.12,71.97,7.85,high
Maize,Kisumu,Nyanza,Wholesale,sarima,2027-01-01,6,54.63,35.98,73.27,7.85,high
Maize,Kisumu,Nyanza,Wholesale,sarima,2026-08-01,12,50.67,41.87,59.47,7.85,high
Maize,Kisumu,Nyanza,Wholesale,sarima,2026-09-01,12,51.81,38.77,64.84,7.85,high
Maize,Kisumu,Nyanza,Wholesale,sarima,2026-10-01,12,52.1,36.7,67.49,7.85,high
Maize,Kisumu,Nyanza,Wholesale,sarima,2026-11-01,12,51.7,34.8,68.6,7.85,high
Maize,Kisumu,Nyanza,Wholesale,sarima,2026-12-01,12,54.04,36.12,71.97,7.85,high
Maize,Kisumu,Nyanza,Wholesale,sarima,2027-01-01,12,54.63,35.98,73.27,7.85,high
Maize,Kisumu,Nyanza,Wholesale,sarima,2027-02-01,12,58.44,39.28,77.6,7.85,high
Maize,Kisumu,Nyanza,Wholesale,sarima,2027-03-01,12,60.62,41.09,80.15,7.85,high
Maize,Kisumu,Nyanza,Wholesale,sarima,2027-04-01,12,58.15,38.34,77.96,7.85,high
Maize,Kisumu,Nyanza,Wholesale,sarima,2027-05-01,12,59.33,39.32,79.35,7.85,high
Maize,Kisumu,Nyanza,Wholesale,sarima,2027-06-01,12,57.81,37.64,77.99,7.85,high
Maize,Kisumu,Nyanza,Wholesale,sarima,2027-07-01,12,56.5,36.21,76.79,7.85,high
Maize,Kitui,Eastern,Retail,chronos,2026-08-01,3,54.13,50.09,56.01,5.83,high
Maize,Kitui,Eastern,Retail,chronos,2026-09-01,3,54.13,49.74,57.09,5.83,high
Maize,Kitui,Eastern,Retail,chronos,2026-10-01,3,53.19,47.85,57.9,5.83,high
Maize,Kitui,Eastern,Retail,chronos,2026-08-01,6,54.13,51.92,56.1,5.83,high
Maize,Kitui,Eastern,Retail,chronos,2026-09-01,6,54.13,50.09,57.17,5.83,high
Maize,Kitui,Eastern,Retail,chronos,2026-10-01,6,54.13,50.09,58.01,5.83,high
Maize,Kitui,Eastern,Retail,chronos,2026-11-01,6,54.13,50.06,59.57,5.83,high
Maize,Kitui,Eastern,Retail,chronos,2026-12-01,6,54.13,47.94,60.24,5.83,high
Maize,Kitui,Eastern,Retail,chronos,2027-01-01,6,54.0,46.05,60.67,5.83,high
Maize,Kitui,Eastern,Retail,chronos,2026-08-01,12,54.13,50.9,56.01,5.83,high
Maize,Kitui,Eastern,Retail,chronos,2026-09-01,12,54.13,49.39,57.9,5.83,high
Maize,Kitui,Eastern,Retail,chronos,2026-10-01,12,54.13,47.13,57.98,5.83,high
Maize,Kitui,Eastern,Retail,chronos,2026-11-01,12,54.13,46.05,59.0,5.83,high
Maize,Kitui,Eastern,Retail,chronos,2026-12-01,12,54.13,45.94,59.79,5.83,high
Maize,Kitui,Eastern,Retail,chronos,2027-01-01,12,54.13,43.82,59.81,5.83,high
Maize,Kitui,Eastern,Retail,chronos,2027-02-01,12,54.13,44.87,61.67,5.83,high
Maize,Kitui,Eastern,Retail,chronos,2027-03-01,12,54.13,44.87,63.1,5.83,high
Maize,Kitui,Eastern,Retail,chronos,2027-04-01,12,53.19,42.98,64.36,5.83,high
Maize,Kitui,Eastern,Retail,chronos,2027-05-01,12,54.13,42.98,64.12,5.83,high
Maize,Kitui,Eastern,Retail,chronos,2027-06-01,12,54.13,44.68,65.74,5.83,high
Maize,Kitui,Eastern,Retail,chronos,2027-07-01,12,54.13,44.78,67.06,5.83,high
Maize,Meru,Eastern,Retail,sarima,2026-08-01,3,39.92,31.15,48.69,13.32,medium
Maize,Meru,Eastern,Retail,sarima,2026-09-01,3,41.57,28.57,54.57,13.32,medium
Maize,Meru,Eastern,Retail,sarima,2026-10-01,3,43.91,27.54,60.28,13.32,medium
Maize,Meru,Eastern,Retail,sarima,2026-08-01,6,39.92,31.15,48.69,13.32,medium
Maize,Meru,Eastern,Retail,sarima,2026-09-01,6,41.57,28.57,54.57,13.32,medium
Maize,Meru,Eastern,Retail,sarima,2026-10-01,6,43.91,27.54,60.28,13.32,medium
Maize,Meru,Eastern,Retail,sarima,2026-11-01,6,43.64,24.51,62.76,13.32,medium
Maize,Meru,Eastern,Retail,sarima,2026-12-01,6,44.78,23.45,66.11,13.32,medium
Maize,Meru,Eastern,Retail,sarima,2027-01-01,6,47.03,23.98,70.08,13.32,medium
Maize,Meru,Eastern,Retail,sarima,2026-08-01,12,39.92,31.15,48.69,13.32,medium
Maize,Meru,Eastern,Retail,sarima,2026-09-01,12,41.57,28.57,54.57,13.32,medium
Maize,Meru,Eastern,Retail,sarima,2026-10-01,12,43.91,27.54,60.28,13.32,medium
Maize,Meru,Eastern,Retail,sarima,2026-11-01,12,43.64,24.51,62.76,13.32,medium
Maize,Meru,Eastern,Retail,sarima,2026-12-01,12,44.78,23.45,66.11,13.32,medium
Maize,Meru,Eastern,Retail,sarima,2027-01-01,12,47.03,23.98,70.08,13.32,medium
Maize,Meru,Eastern,Retail,sarima,2027-02-01,12,44.77,20.44,69.1,13.32,medium
Maize,Meru,Eastern,Retail,sarima,2027-03-01,12,45.75,20.52,70.98,13.32,medium
Maize,Meru,Eastern,Retail,sarima,2027-04-01,12,48.51,22.69,74.34,13.32,medium
Maize,Meru,Eastern,Retail,sarima,2027-05-01,12,49.12,22.95,75.29,13.32,medium
Maize,Meru,Eastern,Retail,sarima,2027-06-01,12,51.71,25.37,78.06,13.32,medium
Maize,Meru,Eastern,Retail,sarima,2027-07-01,12,52.83,26.41,79.24,13.32,medium
Maize,Makueni,Eastern,Retail,chronos,2026-08-01,3,56.12,53.1,60.04,11.11,medium
Maize,Makueni,Eastern,Retail,chronos,2026-09-01,3,56.42,52.44,60.1,11.11,medium
Maize,Makueni,Eastern,Retail,chronos,2026-10-01,3,56.42,50.03,63.06,11.11,medium
Maize,Makueni,Eastern,Retail,chronos,2026-08-01,6,56.12,53.1,60.04,11.11,medium
Maize,Makueni,Eastern,Retail,chronos,2026-09-01,6,56.12,48.88,60.1,11.11,medium
Maize,Makueni,Eastern,Retail,chronos,2026-10-01,6,56.12,47.07,63.06,11.11,medium
Maize,Makueni,Eastern,Retail,chronos,2026-11-01,6,57.02,47.07,62.15,11.11,medium
Maize,Makueni,Eastern,Retail,chronos,2026-12-01,6,57.02,47.07,63.12,11.11,medium
Maize,Makueni,Eastern,Retail,chronos,2027-01-01,6,57.02,47.07,64.12,11.11,medium
Maize,Makueni,Eastern,Retail,chronos,2026-08-01,12,57.02,54.01,60.04,11.11,medium
Maize,Makueni,Eastern,Retail,chronos,2026-09-01,12,57.02,53.1,62.15,11.11,medium
Maize,Makueni,Eastern,Retail,chronos,2026-10-01,12,57.02,48.88,62.24,11.11,medium
Maize,Makueni,Eastern,Retail,chronos,2026-11-01,12,57.02,50.09,63.75,11.11,medium
Maize,Makueni,Eastern,Retail,chronos,2026-12-01,12,57.02,48.79,64.15,11.11,medium
Maize,Makueni,Eastern,Retail,chronos,2027-01-01,12,57.02,47.88,67.07,11.11,medium
Maize,Makueni,Eastern,Retail,chronos,2027-02-01,12,57.02,48.7,68.22,11.11,medium
Maize,Makueni,Eastern,Retail,chronos,2027-03-01,12,57.33,44.96,70.0,11.11,medium
Maize,Makueni,Eastern,Retail,chronos,2027-04-01,12,57.02,44.96,70.66,11.11,medium
Maize,Makueni,Eastern,Retail,chronos,2027-05-01,12,57.02,44.87,70.15,11.11,medium
Maize,Makueni,Eastern,Retail,chronos,2027-06-01,12,57.02,44.96,70.27,11.11,medium
Maize,Makueni,Eastern,Retail,chronos,2027-07-01,12,57.02,44.96,71.84,11.11,medium
Maize,Wajir,North Eastern,Retail,sarima,2026-08-01,3,91.66,81.18,102.14,8.34,high
Maize,Wajir,North Eastern,Retail,sarima,2026-09-01,3,93.2,79.28,107.12,8.34,high
Maize,Wajir,North Eastern,Retail,sarima,2026-10-01,3,94.64,79.04,110.24,8.34,high
Maize,Wajir,North Eastern,Retail,sarima,2026-08-01,6,91.66,81.18,102.14,8.34,high
Maize,Wajir,North Eastern,Retail,sarima,2026-09-01,6,93.2,79.28,107.12,8.34,high
Maize,Wajir,North Eastern,Retail,sarima,2026-10-01,6,94.64,79.04,110.24,8.34,high
Maize,Wajir,North Eastern,Retail,sarima,2026-11-01,6,96.48,79.37,113.58,8.34,high
Maize,Wajir,North Eastern,Retail,sarima,2026-12-01,6,94.32,75.82,112.82,8.34,high
Maize,Wajir,North Eastern,Retail,sarima,2027-01-01,6,95.39,75.6,115.18,8.34,high
Maize,Wajir,North Eastern,Retail,sarima,2026-08-01,12,91.66,81.18,102.14,8.34,high
Maize,Wajir,North Eastern,Retail,sarima,2026-09-01,12,93.2,79.28,107.12,8.34,high
Maize,Wajir,North Eastern,Retail,sarima,2026-10-01,12,94.64,79.04,110.24,8.34,high
Maize,Wajir,North Eastern,Retail,sarima,2026-11-01,12,96.48,79.37,113.58,8.34,high
Maize,Wajir,North Eastern,Retail,sarima,2026-12-01,12,94.32,75.82,112.82,8.34,high
Maize,Wajir,North Eastern,Retail,sarima,2027-01-01,12,95.39,75.6,115.18,8.34,high
Maize,Wajir,North Eastern,Retail,sarima,2027-02-01,12,94.17,73.16,115.17,8.34,high
Maize,Wajir,North Eastern,Retail,sarima,2027-03-01,12,95.86,73.71,118.01,8.34,high
Maize,Wajir,North Eastern,Retail,sarima,2027-04-01,12,93.13,69.89,116.36,8.34,high
Maize,Wajir,North Eastern,Retail,sarima,2027-05-01,12,92.89,68.61,117.17,8.34,high
Maize,Wajir,North Eastern,Retail,sarima,2027-06-01,12,93.3,68.03,118.58,8.34,high
Maize,Wajir,North Eastern,Retail,sarima,2027-07-01,12,94.26,68.03,120.5,8.34,high
Maize,Mandera,North Eastern,Retail,prophet,2026-08-01,3,97.82,92.59,102.86,10.58,medium
Maize,Mandera,North Eastern,Retail,prophet,2026-09-01,3,97.53,92.02,102.21,10.58,medium
Maize,Mandera,North Eastern,Retail,prophet,2026-10-01,3,100.09,95.2,105.29,10.58,medium
Maize,Mandera,North Eastern,Retail,prophet,2026-08-01,6,97.82,92.64,102.89,10.58,medium
Maize,Mandera,North Eastern,Retail,prophet,2026-09-01,6,97.53,92.78,102.38,10.58,medium
Maize,Mandera,North Eastern,Retail,prophet,2026-10-01,6,100.09,94.98,105.1,10.58,medium
Maize,Mandera,North Eastern,Retail,prophet,2026-11-01,6,100.22,94.97,105.09,10.58,medium
Maize,Mandera,North Eastern,Retail,prophet,2026-12-01,6,99.01,93.88,104.05,10.58,medium
Maize,Mandera,North Eastern,Retail,prophet,2027-01-01,6,100.08,95.04,104.84,10.58,medium
Maize,Mandera,North Eastern,Retail,prophet,2026-08-01,12,97.82,92.47,103.03,10.58,medium
Maize,Mandera,North Eastern,Retail,prophet,2026-09-01,12,97.53,92.63,102.4,10.58,medium
Maize,Mandera,North Eastern,Retail,prophet,2026-10-01,12,100.09,94.87,105.01,10.58,medium
Maize,Mandera,North Eastern,Retail,prophet,2026-11-01,12,100.22,95.52,105.69,10.58,medium
Maize,Mandera,North Eastern,Retail,prophet,2026-12-01,12,99.01,93.92,104.27,10.58,medium
Maize,Mandera,North Eastern,Retail,prophet,2027-01-01,12,100.08,95.11,105.26,10.58,medium
Maize,Mandera,North Eastern,Retail,prophet,2027-02-01,12,101.0,96.02,105.94,10.58,medium
Maize,Mandera,North Eastern,Retail,prophet,2027-03-01,12,98.53,93.87,104.39,10.58,medium
Maize,Mandera,North Eastern,Retail,prophet,2027-04-01,12,98.43,93.48,104.05,10.58,medium
Maize,Mandera,North Eastern,Retail,prophet,2027-05-01,12,97.72,92.48,103.36,10.58,medium
Maize,Mandera,North Eastern,Retail,prophet,2027-06-01,12,98.71,93.6,104.51,10.58,medium
Maize,Mandera,North Eastern,Retail,prophet,2027-07-01,12,98.26,92.82,104.04,10.58,medium
Maize,Marsabit,North Eastern,Retail,sarima,2026-08-01,3,67.23,60.7,73.76,4.73,high
Maize,Marsabit,North Eastern,Retail,sarima,2026-09-01,3,67.98,58.91,77.06,4.73,high
Maize,Marsabit,North Eastern,Retail,sarima,2026-10-01,3,68.45,57.61,79.28,4.73,high
Maize,Marsabit,North Eastern,Retail,sarima,2026-08-01,6,67.23,60.7,73.76,4.73,high
Maize,Marsabit,North Eastern,Retail,sarima,2026-09-01,6,67.98,58.91,77.06,4.73,high
Maize,Marsabit,North Eastern,Retail,sarima,2026-10-01,6,68.45,57.61,79.28,4.73,high
Maize,Marsabit,North Eastern,Retail,sarima,2026-11-01,6,69.1,56.57,81.62,4.73,high
Maize,Marsabit,North Eastern,Retail,sarima,2026-12-01,6,68.78,54.91,82.64,4.73,high
Maize,Marsabit,North Eastern,Retail,sarima,2027-01-01,6,69.99,54.78,85.19,4.73,high
Maize,Marsabit,North Eastern,Retail,sarima,2026-08-01,12,67.23,60.7,73.76,4.73,high
Maize,Marsabit,North Eastern,Retail,sarima,2026-09-01,12,67.98,58.91,77.06,4.73,high
Maize,Marsabit,North Eastern,Retail,sarima,2026-10-01,12,68.45,57.61,79.28,4.73,high
Maize,Marsabit,North Eastern,Retail,sarima,2026-11-01,12,69.1,56.57,81.62,4.73,high
Maize,Marsabit,North Eastern,Retail,sarima,2026-12-01,12,68.78,54.91,82.64,4.73,high
Maize,Marsabit,North Eastern,Retail,sarima,2027-01-01,12,69.99,54.78,85.19,4.73,high
Maize,Marsabit,North Eastern,Retail,sarima,2027-02-01,12,69.33,52.99,85.67,4.73,high
Maize,Marsabit,North Eastern,Retail,sarima,2027-03-01,12,68.54,51.06,86.03,4.73,high
Maize,Marsabit,North Eastern,Retail,sarima,2027-04-01,12,69.5,51.02,87.98,4.73,high
Maize,Marsabit,North Eastern,Retail,sarima,2027-05-01,12,68.83,49.33,88.33,4.73,high
Maize,Marsabit,North Eastern,Retail,sarima,2027-06-01,12,69.06,48.65,89.46,4.73,high
Maize,Marsabit,North Eastern,Retail,sarima,2027-07-01,12,69.56,48.24,90.88,4.73,high
Maize,Isiolo,Eastern,Retail,chronos,2026-08-01,3,71.0,65.99,74.09,8.51,high
Maize,Isiolo,Eastern,Retail,chronos,2026-09-01,3,71.0,64.44,76.02,8.51,high
Maize,Isiolo,Eastern,Retail,chronos,2026-10-01,3,71.0,62.01,77.95,8.51,high
Maize,Isiolo,Eastern,Retail,chronos,2026-08-01,6,71.0,64.06,74.09,8.51,high
Maize,Isiolo,Eastern,Retail,chronos,2026-09-01,6,71.0,60.97,77.95,8.51,high
Maize,Isiolo,Eastern,Retail,chronos,2026-10-01,6,71.0,59.81,77.95,8.51,high
Maize,Isiolo,Eastern,Retail,chronos,2026-11-01,6,71.2,59.74,79.99,8.51,high
Maize,Isiolo,Eastern,Retail,chronos,2026-12-01,6,72.93,57.81,82.23,8.51,high
Maize,Isiolo,Eastern,Retail,chronos,2027-01-01,6,72.93,58.23,83.04,8.51,high
Maize,Isiolo,Eastern,Retail,chronos,2026-08-01,12,71.0,65.56,74.09,8.51,high
Maize,Isiolo,Eastern,Retail,chronos,2026-09-01,12,70.23,60.97,76.44,8.51,high
Maize,Isiolo,Eastern,Retail,chronos,2026-10-01,12,69.85,59.81,78.06,8.51,high
Maize,Isiolo,Eastern,Retail,chronos,2026-11-01,12,71.0,59.81,79.88,8.51,high
Maize,Isiolo,Eastern,Retail,chronos,2026-12-01,12,71.0,59.81,82.62,8.51,high
Maize,Isiolo,Eastern,Retail,chronos,2027-01-01,12,71.97,62.71,86.59,8.51,high
Maize,Isiolo,Eastern,Retail,chronos,2027-02-01,12,73.32,63.86,87.98,8.51,high
Maize,Isiolo,Eastern,Retail,chronos,2027-03-01,12,74.09,63.86,88.1,8.51,high
Maize,Isiolo,Eastern,Retail,chronos,2027-04-01,12,74.48,62.01,90.61,8.51,high
Maize,Isiolo,Eastern,Retail,chronos,2027-05-01,12,74.09,60.97,93.58,8.51,high
Maize,Isiolo,Eastern,Retail,chronos,2027-06-01,12,73.51,61.9,94.12,8.51,high
Maize,Isiolo,Eastern,Retail,chronos,2027-07-01,12,74.09,60.16,94.04,8.51,high
Beans (dry),Mombasa,Coast,Wholesale,chronos,2025-12-01,3,138.74,120.07,153.02,30.14,low
Beans (dry),Mombasa,Coast,Wholesale,chronos,2026-01-01,3,138.49,119.27,161.6,30.14,low
Beans (dry),Mombasa,Coast,Wholesale,chronos,2026-02-01,3,138.74,115.53,167.3,30.14,low
Beans (dry),Mombasa,Coast,Wholesale,chronos,2025-12-01,6,138.74,122.09,155.89,30.14,low
Beans (dry),Mombasa,Coast,Wholesale,chronos,2026-01-01,6,138.49,115.48,161.5,30.14,low
Beans (dry),Mombasa,Coast,Wholesale,chronos,2026-02-01,6,138.74,116.54,166.64,30.14,low
Beans (dry),Mombasa,Coast,Wholesale,chronos,2026-03-01,6,141.52,118.06,172.95,30.14,low
Beans (dry),Mombasa,Coast,Wholesale,chronos,2026-04-01,6,147.07,120.98,180.11,30.14,low
Beans (dry),Mombasa,Coast,Wholesale,chronos,2026-05-01,6,153.62,123.51,185.26,30.14,low
Beans (dry),Mombasa,Coast,Wholesale,chronos,2025-12-01,12,138.74,122.6,149.99,30.14,low
Beans (dry),Mombasa,Coast,Wholesale,chronos,2026-01-01,12,138.74,119.57,153.47,30.14,low
Beans (dry),Mombasa,Coast,Wholesale,chronos,2026-02-01,12,138.74,115.03,159.48,30.14,low
Beans (dry),Mombasa,Coast,Wholesale,chronos,2026-03-01,12,141.01,119.97,168.0,30.14,low
Beans (dry),Mombasa,Coast,Wholesale,chronos,2026-04-01,12,147.32,123.51,173.35,30.14,low
Beans (dry),Mombasa,Coast,Wholesale,chronos,2026-05-01,12,148.33,121.94,180.11,30.14,low
Beans (dry),Mombasa,Coast,Wholesale,chronos,2026-06-01,12,149.59,123.96,180.72,30.14,low
Beans (dry),Mombasa,Coast,Wholesale,chronos,2026-07-01,12,149.34,119.07,181.22,30.14,low
Beans (dry),Mombasa,Coast,Wholesale,chronos,2026-08-01,12,148.58,119.47,180.67,30.14,low
Beans (dry),Mombasa,Coast,Wholesale,chronos,2026-09-01,12,147.32,120.07,180.62,30.14,low
Beans (dry),Mombasa,Coast,Wholesale,chronos,2026-10-01,12,150.09,121.44,181.78,30.14,low
Beans (dry),Mombasa,Coast,Wholesale,chronos,2026-11-01,12,148.07,117.5,183.85,30.14,low
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-08-01,3,174.17,157.73,189.34,14.79,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-09-01,3,172.49,155.71,189.94,14.79,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-10-01,3,174.84,154.57,190.61,14.79,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-08-01,6,172.49,155.71,185.92,14.79,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-09-01,6,170.48,154.97,188.73,14.79,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-10-01,6,167.12,150.95,185.31,14.79,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-11-01,6,168.13,149.67,189.94,14.79,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-12-01,6,167.12,154.17,190.61,14.79,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2027-01-01,6,167.79,149.67,190.68,14.79,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-08-01,12,175.18,157.66,188.6,14.79,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-09-01,12,169.14,151.01,188.6,14.79,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-10-01,12,168.13,151.01,186.59,14.79,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-11-01,12,166.79,148.33,179.2,14.79,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2026-12-01,12,167.79,149.0,188.6,14.79,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2027-01-01,12,167.46,148.33,188.67,14.79,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2027-02-01,12,167.12,149.0,189.27,14.79,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2027-03-01,12,167.79,155.71,190.01,14.79,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2027-04-01,12,170.48,152.09,190.68,14.79,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2027-05-01,12,168.13,151.01,191.35,14.79,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2027-06-01,12,170.81,154.97,191.28,14.79,medium
Beans (dry),Kisumu,Nyanza,Wholesale,chronos,2027-07-01,12,168.8,149.6,195.51,14.79,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2025-12-01,3,130.06,116.24,144.54,17.74,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-01-01,3,141.96,130.23,155.88,17.74,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-02-01,3,143.36,130.8,156.6,17.74,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2025-12-01,6,130.06,115.86,143.31,17.74,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-01-01,6,141.96,128.31,156.16,17.74,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-02-01,6,143.36,130.12,157.49,17.74,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-03-01,6,154.0,140.45,167.55,17.74,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-04-01,6,142.86,129.05,156.79,17.74,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-05-01,6,140.69,127.44,155.03,17.74,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2025-12-01,12,130.06,116.86,143.52,17.74,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-01-01,12,141.96,127.6,155.91,17.74,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-02-01,12,143.36,129.53,157.24,17.74,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-03-01,12,154.0,140.88,167.14,17.74,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-04-01,12,142.86,129.61,155.83,17.74,medium
Beans (dry),Kitui,Eastern,Wholesale,prophet,2026-05-01,12,140.69,127.35,153.42,17.74,medium
