commodity,market,pricetype,date,price_per_kg,rainfall_mm,GPR,diesel_price_kes,source,admin1,latitude,longitude,category,rainfall_source
Beans (dry),Busia,Wholesale,2022-07-01,96.66666666666669,94.84,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2022-08-01,115.0,188.61,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2022-10-01,180.0,177.82,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2022-11-01,123.66,89.25,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2022-12-01,125.0,78.68,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2023-02-01,116.66666666666669,12.35,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2023-03-01,167.96666666666667,529.25,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2023-04-01,177.4,258.21000000000004,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2023-05-01,180.0,201.97,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2023-06-01,115.33333333333331,276.12,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2023-07-01,177.8,129.81,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2023-08-01,177.8,122.03,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2023-10-01,180.5555555555556,130.1,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2023-12-01,120.0,64.22,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2024-01-01,120.0,108.98,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2024-02-01,120.0,54.27,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Busia,Wholesale,2024-03-01,120.0,59.58,,,FEWS,Western,0.462451,34.1065,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2006-01-01,31.1,19.84,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2006-02-01,35.0,35.260000000000005,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2006-03-01,36.72222222222222,115.71000000000001,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2006-04-01,34.0,274.5,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2006-05-01,36.78888888888889,151.72,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2006-06-01,33.08888888888889,77.29,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2006-07-01,25.11111111111111,88.02,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2006-08-01,21.944444444444443,98.56,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2006-09-01,30.0,183.17,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2006-10-01,26.666666666666668,226.99,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2006-11-01,29.72222222222222,332.91,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2006-12-01,28.88888888888889,144.75,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2007-01-01,30.33333333333333,60.519999999999996,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2007-02-01,30.933333333333334,105.93,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2007-03-01,30.322222222222223,52.260000000000005,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2007-04-01,31.55555555555556,228.94,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2007-05-01,30.8,270.24,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2007-06-01,31.11111111111111,122.03,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2007-07-01,30.25555555555556,159.23,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2007-08-01,26.8,152.16,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2007-09-01,26.92222222222222,232.16,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2007-10-01,29.05555555555556,166.47,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2007-11-01,31.11111111111111,48.3,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2007-12-01,32.36666666666667,48.06,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2008-01-01,35.55555555555556,23.52,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2008-02-01,43.11111111111112,101.87,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2008-03-01,44.44444444444444,223.01,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2008-04-01,52.0,208.76,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2008-05-01,53.333333333333336,179.57,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2008-06-01,53.15555555555556,132.01,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2008-07-01,43.477777777777774,110.85,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2008-08-01,38.4,165.55,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2008-09-01,41.94444444444444,164.72,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2008-10-01,47.03333333333333,277.1,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2008-11-01,45.74444444444445,186.99,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2008-12-01,47.41111111111111,9.65,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2009-01-01,52.96666666666667,44.87,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2009-02-01,51.3,16.64,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2009-03-01,52.16666666666666,70.1,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2009-04-01,54.422222222222224,217.57999999999998,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2009-05-01,55.0,237.52,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2009-06-01,49.3,62.02,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2009-07-01,50.22222222222222,99.92,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2009-08-01,51.77777777777778,118.17,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2009-09-01,54.72222222222222,127.42,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2009-10-01,53.888888888888886,164.87,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2009-11-01,53.888888888888886,79.02,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2009-12-01,55.31111111111111,187.41,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2010-01-01,55.55555555555556,102.02,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2010-02-01,55.66666666666666,162.66,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2010-03-01,56.3,204.49,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2010-04-01,55.922222222222224,284.48,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2010-05-01,46.422222222222224,302.99,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2010-06-01,40.3,108.88,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2010-07-01,31.57777777777778,158.45,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2010-08-01,30.92222222222222,135.13,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2010-09-01,33.333333333333336,189.35,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2010-10-01,48.888888888888886,192.76999999999998,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2010-11-01,44.333333333333336,99.92,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2010-12-01,44.72222222222222,41.04,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2011-01-01,53.11111111111112,14.89,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2011-02-01,63.0,29.13,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2011-03-01,67.87777777777778,185.06,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2011-04-01,85.0,203.21,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2011-05-01,96.66666666666669,284.1,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2011-06-01,100.0,163.34,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2011-07-01,74.0,126.1,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2011-08-01,66.66666666666667,260.35,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2011-09-01,63.4,168.48000000000002,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2011-10-01,70.33333333333333,249.06,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2011-11-01,70.78888888888889,367.56,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2011-12-01,59.12222222222222,59.75,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2012-01-01,60.0,2.15,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
Beans (dry),Eldoret,Wholesale,2012-02-01,60.0,28.91,,,FEWS,Rift Valley,0.506738,35.2713,pulses and nuts,NASA POWER PRECTOTCORR monthly sum
