date,market,commodity,price,unit,pricetype,source
2022-01-31,Nairobi,Beans (Rosecoco),9084.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-01-31,Nairobi,Maize Grain (White),3177.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-01-31,Nairobi,Potato (White),1928.333333,110_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-02-01,Eldoret,Beans (Canadian wonder),60.0,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Eldoret,Beans (Mwezi Moja),69.5,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Eldoret,Beans (Mwitemania),80.0,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Eldoret,Beans (Yellow-Green),86.375,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Eldoret,Beans Red Haricot (Wairimu),67.0,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Eldoret,Beans Rosecoco,80.2,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Eldoret,Dry Maize,41.301429,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Eldoret,Red Irish potato,66.0,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Eldoret,Red Sorghum,80.0,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Eldoret,White Irish Potatoes,27.8,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Kisumu,Beans (Canadian wonder),106.67,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Kisumu,Beans (Mwezi Moja),99.494545,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Kisumu,Beans (Mwitemania),98.52,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Kisumu,Beans (Yellow-Green),176.388,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Kisumu,Beans Red Haricot (Wairimu),99.494545,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Kisumu,Beans Rosecoco,118.61,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Kisumu,Dry Maize,39.808966,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Kisumu,Red Irish potato,41.0,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Kisumu,Red Sorghum,47.347273,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Kisumu,White Irish Potatoes,37.049231,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Kisumu,White Sorghum,53.75,kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Nairobi,Beans (Canadian wonder),86.985714,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Nairobi,Beans (Mwezi Moja),79.63,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Nairobi,Beans (Mwitemania),92.593333,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Nairobi,Beans (Yellow-Green),96.5275,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Nairobi,Beans Red Haricot (Wairimu),78.805,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Nairobi,Beans Rosecoco,90.926667,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Nairobi,Dry Maize,33.88875,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Nairobi,Red Sorghum,69.5125,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Nairobi,White Irish Potatoes,40.305,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Nairobi,White Sorghum,90.0,kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Nakuru,Beans (Canadian wonder),60.0,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Nakuru,Beans (Mwezi Moja),69.444444,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Nakuru,Beans (Mwitemania),61.842105,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Nakuru,Beans (Yellow-Green),71.052632,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Nakuru,Beans Red Haricot (Wairimu),341.052632,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Nakuru,Beans Rosecoco,70.0,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Nakuru,Dry Maize,78.923019,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Nakuru,Red Sorghum,50.0,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Nakuru,White Irish Potatoes,52.0,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-01,Nakuru,White Sorghum,50.0,kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-02-28,Eldoret,Beans (Rosecoco),8775.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-02-28,Eldoret,Maize Grain (White),2799.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-02-28,Eldoret,Potato (White),1900.0,110_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-02-28,Kisumu,Beans (Rosecoco),11196.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-02-28,Kisumu,Maize Grain (White),3996.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-02-28,Kisumu,Potato (White),2700.0,110_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-02-28,Mombasa,Beans (Rosecoco),9900.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-02-28,Mombasa,Maize Grain (White),3600.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-02-28,Nairobi,Beans (Rosecoco),7002.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-02-28,Nairobi,Maize Grain (White),2997.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-02-28,Nairobi,Potato (White),2000.0,110_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-03-01,Eldoret,Beans (Canadian wonder),61.25,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Eldoret,Beans (Mwezi Moja),79.0,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Eldoret,Beans (Mwitemania),81.888889,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Eldoret,Beans (Yellow-Green),105.375,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Eldoret,Beans Red Haricot (Wairimu),82.166667,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Eldoret,Beans Rosecoco,76.1875,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Eldoret,Dry Maize,53.345926,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Eldoret,Red Irish potato,26.0,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Eldoret,Red Sorghum,67.3,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Eldoret,White Irish Potatoes,30.619333,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Kisumu,Beans (Canadian wonder),106.67,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Kisumu,Beans (Mwezi Moja),101.15,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Kisumu,Beans (Mwitemania),97.144286,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Kisumu,Beans (Yellow-Green),124.418182,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Kisumu,Beans Red Haricot (Wairimu),95.039286,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Kisumu,Beans Rosecoco,119.2,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Kisumu,Dry Maize,41.1575,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Kisumu,Red Irish potato,38.666667,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Kisumu,Red Sorghum,46.651053,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Kisumu,White Irish Potatoes,38.838125,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Kisumu,White Sorghum,51.0,kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Nairobi,Beans (Canadian wonder),60.555,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Nairobi,Beans (Mwezi Moja),61.665,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Nairobi,Beans (Mwitemania),74.443333,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Nairobi,Beans (Yellow-Green),799.262727,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Nairobi,Beans Red Haricot (Wairimu),69.15375,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Nairobi,Beans Rosecoco,77.543,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Nairobi,Dry Maize,33.255,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Nairobi,Red Sorghum,59.285714,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Nairobi,White Irish Potatoes,40.1,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Nakuru,Beans (Canadian wonder),60.0,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Nakuru,Beans (Mwezi Moja),70.0,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Nakuru,Beans (Mwitemania),61.190476,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Nakuru,Beans (Yellow-Green),71.0,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Nakuru,Beans Red Haricot (Wairimu),60.0,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Nakuru,Beans Rosecoco,70.0,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Nakuru,Dry Maize,72.760476,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Nakuru,Red Sorghum,48.636364,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Nakuru,White Irish Potatoes,52.96963,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-01,Nakuru,White Sorghum,50.0,kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-03-31,Eldoret,Beans (Rosecoco),6471.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-03-31,Eldoret,Maize Grain (White),3459.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-03-31,Eldoret,Sorghum (Red),5456.25,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-03-31,Kisumu,Beans (Rosecoco),10427.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-03-31,Kisumu,Maize Grain (White),3996.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-03-31,Kisumu,Sorghum (Red),4050.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-03-31,Mombasa,Beans (Rosecoco),9900.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-03-31,Mombasa,Maize Grain (White),4500.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-03-31,Nairobi,Beans (Rosecoco),6540.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-03-31,Nairobi,Maize Grain (White),2988.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-03-31,Nairobi,Sorghum (Red),5456.0,90_kg,Wholesale,FEWS NET Kenya wholesale API (https://fdw.fews.net/api/marketpricefacts.csv?country=KE&price_type=Wholesale)
2022-04-01,Eldoret,Beans (Mwezi Moja),82.25,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
2022-04-01,Eldoret,Beans (Mwitemania),96.0,Kg,Wholesale,KAMIS public market search; monthly arithmetic mean of observed market records (https://kamis.kilimo.go.ke/site/market_search)
