market,admin1,latitude,longitude,date,rainfall_mm_market
Adele Center,Coast,-0.47,39.61,2008-11-01,97.2
Adele Center,Coast,-0.47,39.61,2008-12-01,8.68
Adele Center,Coast,-0.47,39.61,2009-01-01,21.39
Adele Center,Coast,-0.47,39.61,2009-02-01,5.04
Adele Center,Coast,-0.47,39.61,2009-03-01,8.37
Adele Center,Coast,-0.47,39.61,2009-04-01,45.3
Adele Center,Coast,-0.47,39.61,2009-05-01,39.37
Adele Center,Coast,-0.47,39.61,2009-06-01,26.4
Adele Center,Coast,-0.47,39.61,2009-07-01,4.96
Adele Center,Coast,-0.47,39.61,2009-08-01,4.34
Adele Center,Coast,-0.47,39.61,2009-09-01,1.5
Adele Center,Coast,-0.47,39.61,2009-10-01,164.61
Adele Center,Coast,-0.47,39.61,2009-11-01,38.7
Adele Center,Coast,-0.47,39.61,2009-12-01,97.34
Adele Center,Coast,-0.47,39.61,2010-01-01,13.02
Adele Center,Coast,-0.47,39.61,2010-02-01,20.72
Adele Center,Coast,-0.47,39.61,2010-03-01,70.68
Adele Center,Coast,-0.47,39.61,2010-04-01,148.2
Adele Center,Coast,-0.47,39.61,2010-05-01,93.93
Adele Center,Coast,-0.47,39.61,2010-06-01,18.0
Adele Center,Coast,-0.47,39.61,2010-07-01,20.77
Adele Center,Coast,-0.47,39.61,2010-08-01,4.34
Adele Center,Coast,-0.47,39.61,2010-09-01,5.1
Adele Center,Coast,-0.47,39.61,2010-10-01,17.98
Adele Center,Coast,-0.47,39.61,2010-11-01,69.9
Adele Center,Coast,-0.47,39.61,2010-12-01,22.63
Adele Center,Coast,-0.47,39.61,2011-01-01,2.48
Adele Center,Coast,-0.47,39.61,2011-02-01,5.88
Adele Center,Coast,-0.47,39.61,2011-03-01,13.02
Adele Center,Coast,-0.47,39.61,2011-04-01,69.0
Adele Center,Coast,-0.47,39.61,2011-05-01,58.59
Adele Center,Coast,-0.47,39.61,2011-06-01,5.4
Adele Center,Coast,-0.47,39.61,2011-07-01,15.81
Adele Center,Coast,-0.47,39.61,2011-08-01,5.89
Adele Center,Coast,-0.47,39.61,2011-09-01,12.3
Adele Center,Coast,-0.47,39.61,2011-10-01,131.75
Adele Center,Coast,-0.47,39.61,2011-11-01,145.2
Adele Center,Coast,-0.47,39.61,2011-12-01,48.36
Adele Center,Coast,-0.47,39.61,2012-01-01,3.72
Adele Center,Coast,-0.47,39.61,2012-02-01,2.32
Adele Center,Coast,-0.47,39.61,2012-03-01,2.17
Adele Center,Coast,-0.47,39.61,2012-04-01,54.0
Adele Center,Coast,-0.47,39.61,2012-05-01,54.87
Adele Center,Coast,-0.47,39.61,2012-06-01,25.5
Adele Center,Coast,-0.47,39.61,2012-07-01,5.27
Adele Center,Coast,-0.47,39.61,2012-08-01,14.26
Adele Center,Coast,-0.47,39.61,2012-09-01,4.8
Adele Center,Coast,-0.47,39.61,2012-10-01,51.77
Adele Center,Coast,-0.47,39.61,2012-11-01,137.4
Adele Center,Coast,-0.47,39.61,2012-12-01,99.82
Adele Center,Coast,-0.47,39.61,2013-01-01,9.3
Adele Center,Coast,-0.47,39.61,2013-02-01,0.28
Adele Center,Coast,-0.47,39.61,2013-03-01,49.6
Adele Center,Coast,-0.47,39.61,2013-04-01,99.6
Adele Center,Coast,-0.47,39.61,2013-05-01,68.82
Adele Center,Coast,-0.47,39.61,2013-06-01,6.0
Adele Center,Coast,-0.47,39.61,2013-07-01,13.33
Adele Center,Coast,-0.47,39.61,2013-08-01,9.3
Adele Center,Coast,-0.47,39.61,2013-09-01,6.3
Adele Center,Coast,-0.47,39.61,2013-10-01,16.43
Adele Center,Coast,-0.47,39.61,2013-11-01,91.2
Adele Center,Coast,-0.47,39.61,2013-12-01,77.5
Adele Center,Coast,-0.47,39.61,2014-01-01,1.24
Adele Center,Coast,-0.47,39.61,2014-02-01,8.96
Adele Center,Coast,-0.47,39.61,2014-03-01,50.84
Adele Center,Coast,-0.47,39.61,2014-04-01,63.0
Adele Center,Coast,-0.47,39.61,2014-05-01,107.88
Adele Center,Coast,-0.47,39.61,2014-06-01,23.7
Adele Center,Coast,-0.47,39.61,2014-07-01,3.41
Adele Center,Coast,-0.47,39.61,2014-08-01,14.57
Adele Center,Coast,-0.47,39.61,2014-09-01,6.0
Adele Center,Coast,-0.47,39.61,2014-10-01,32.55
Adele Center,Coast,-0.47,39.61,2014-11-01,112.2
Adele Center,Coast,-0.47,39.61,2014-12-01,66.34
Adele Center,Coast,-0.47,39.61,2015-01-01,8.06
Adele Center,Coast,-0.47,39.61,2015-02-01,1.12
Adele Center,Coast,-0.47,39.61,2015-03-01,23.56
Adele Center,Coast,-0.47,39.61,2015-04-01,83.4
Adele Center,Coast,-0.47,39.61,2015-05-01,72.23
Adele Center,Coast,-0.47,39.61,2015-06-01,18.6
Adele Center,Coast,-0.47,39.61,2015-07-01,18.6
Adele Center,Coast,-0.47,39.61,2015-08-01,12.09
Adele Center,Coast,-0.47,39.61,2015-09-01,1.8
Adele Center,Coast,-0.47,39.61,2015-10-01,41.85
Adele Center,Coast,-0.47,39.61,2015-11-01,129.6
Adele Center,Coast,-0.47,39.61,2015-12-01,52.39
Adele Center,Coast,-0.47,39.61,2016-01-01,12.71
Adele Center,Coast,-0.47,39.61,2016-02-01,7.54
Adele Center,Coast,-0.47,39.61,2016-03-01,4.65
Adele Center,Coast,-0.47,39.61,2016-04-01,80.7
Adele Center,Coast,-0.47,39.61,2016-05-01,28.83
Adele Center,Coast,-0.47,39.61,2016-06-01,13.8
Adele Center,Coast,-0.47,39.61,2016-07-01,4.03
Adele Center,Coast,-0.47,39.61,2016-08-01,8.99
Adele Center,Coast,-0.47,39.61,2016-09-01,2.7
Adele Center,Coast,-0.47,39.61,2016-10-01,4.34
Adele Center,Coast,-0.47,39.61,2016-11-01,75.6
Adele Center,Coast,-0.47,39.61,2016-12-01,13.02
Adele Center,Coast,-0.47,39.61,2017-01-01,2.17
Adele Center,Coast,-0.47,39.61,2017-02-01,11.76
Adele Center,Coast,-0.47,39.61,2017-03-01,2.17
Adele Center,Coast,-0.47,39.61,2017-04-01,53.7
Adele Center,Coast,-0.47,39.61,2017-05-01,83.39
Adele Center,Coast,-0.47,39.61,2017-06-01,25.5
Adele Center,Coast,-0.47,39.61,2017-07-01,3.72
Adele Center,Coast,-0.47,39.61,2017-08-01,10.85
Adele Center,Coast,-0.47,39.61,2017-09-01,10.8
Adele Center,Coast,-0.47,39.61,2017-10-01,29.14
Adele Center,Coast,-0.47,39.61,2017-11-01,103.2
Adele Center,Coast,-0.47,39.61,2017-12-01,3.72
Adele Center,Coast,-0.47,39.61,2018-01-01,0.62
Adele Center,Coast,-0.47,39.61,2018-02-01,1.12
Adele Center,Coast,-0.47,39.61,2018-03-01,107.57
Adele Center,Coast,-0.47,39.61,2018-04-01,137.7
Adele Center,Coast,-0.47,39.61,2018-05-01,69.75
Adele Center,Coast,-0.47,39.61,2018-06-01,27.3
Adele Center,Coast,-0.47,39.61,2018-07-01,19.22
Adele Center,Coast,-0.47,39.61,2018-08-01,4.96
Adele Center,Coast,-0.47,39.61,2018-09-01,9.6
Adele Center,Coast,-0.47,39.61,2018-10-01,34.72
Adele Center,Coast,-0.47,39.61,2018-11-01,29.1
Adele Center,Coast,-0.47,39.61,2018-12-01,58.59
Adele Center,Coast,-0.47,39.61,2019-01-01,12.4
Adele Center,Coast,-0.47,39.61,2019-02-01,1.96
Adele Center,Coast,-0.47,39.61,2019-03-01,3.41
Adele Center,Coast,-0.47,39.61,2019-04-01,43.8
Adele Center,Coast,-0.47,39.61,2019-05-01,172.36
Adele Center,Coast,-0.47,39.61,2019-06-01,6.9
Adele Center,Coast,-0.47,39.61,2019-07-01,17.98
Adele Center,Coast,-0.47,39.61,2019-08-01,7.44
Adele Center,Coast,-0.47,39.61,2019-09-01,27.3
Adele Center,Coast,-0.47,39.61,2019-10-01,128.65
Adele Center,Coast,-0.47,39.61,2019-11-01,163.5
Adele Center,Coast,-0.47,39.61,2019-12-01,149.11
Adele Center,Coast,-0.47,39.61,2020-01-01,76.26
Adele Center,Coast,-0.47,39.61,2020-02-01,37.7
Adele Center,Coast,-0.47,39.61,2020-03-01,29.76
Adele Center,Coast,-0.47,39.61,2020-04-01,123.6
Adele Center,Coast,-0.47,39.61,2020-05-01,68.82
Adele Center,Coast,-0.47,39.61,2020-06-01,24.3
Adele Center,Coast,-0.47,39.61,2020-07-01,17.36
Adele Center,Coast,-0.47,39.61,2020-08-01,9.3
Adele Center,Coast,-0.47,39.61,2020-09-01,17.1
Adele Center,Coast,-0.47,39.61,2020-10-01,27.9
Adele Center,Coast,-0.47,39.61,2020-11-01,107.1
Adele Center,Coast,-0.47,39.61,2020-12-01,38.13
Adele Center,Coast,-0.47,39.61,2021-01-01,7.13
Adele Center,Coast,-0.47,39.61,2021-02-01,3.36
Adele Center,Coast,-0.47,39.61,2021-03-01,71.3
Adele Center,Coast,-0.47,39.61,2021-04-01,50.4
Adele Center,Coast,-0.47,39.61,2021-05-01,46.19
Adele Center,Coast,-0.47,39.61,2021-06-01,22.2
Adele Center,Coast,-0.47,39.61,2021-07-01,8.99
Adele Center,Coast,-0.47,39.61,2021-08-01,4.34
Adele Center,Coast,-0.47,39.61,2021-09-01,5.1
Adele Center,Coast,-0.47,39.61,2021-10-01,12.4
Adele Center,Coast,-0.47,39.61,2021-11-01,184.8
Adele Center,Coast,-0.47,39.61,2021-12-01,101.06
Adele Center,Coast,-0.47,39.61,2022-01-01,5.58
Adele Center,Coast,-0.47,39.61,2022-02-01,3.64
Adele Center,Coast,-0.47,39.61,2022-03-01,17.36
Adele Center,Coast,-0.47,39.61,2022-04-01,124.2
Adele Center,Coast,-0.47,39.61,2022-05-01,87.73
Adele Center,Coast,-0.47,39.61,2022-06-01,24.6
Adele Center,Coast,-0.47,39.61,2022-07-01,20.46
Adele Center,Coast,-0.47,39.61,2022-08-01,14.26
Adele Center,Coast,-0.47,39.61,2022-09-01,30.9
Adele Center,Coast,-0.47,39.61,2022-10-01,22.32
Adele Center,Coast,-0.47,39.61,2022-11-01,105.9
Adele Center,Coast,-0.47,39.61,2022-12-01,18.29
Adele Center,Coast,-0.47,39.61,2023-01-01,16.12
Adele Center,Coast,-0.47,39.61,2023-02-01,0.28
Adele Center,Coast,-0.47,39.61,2023-03-01,44.64
Adele Center,Coast,-0.47,39.61,2023-04-01,221.7
Adele Center,Coast,-0.47,39.61,2023-05-01,41.54
Adele Center,Coast,-0.47,39.61,2023-06-01,66.0
Adele Center,Coast,-0.47,39.61,2023-07-01,22.94
Adele Center,Coast,-0.47,39.61,2023-08-01,22.01
Adele Center,Coast,-0.47,39.61,2023-09-01,9.0
Adele Center,Coast,-0.47,39.61,2023-10-01,58.9
Adele Center,Coast,-0.47,39.61,2023-11-01,319.2
Adele Center,Coast,-0.47,39.61,2023-12-01,44.95
Adele Center,Coast,-0.47,39.61,2024-01-01,12.09
Adele Center,Coast,-0.47,39.61,2024-02-01,14.79
Adele Center,Coast,-0.47,39.61,2024-03-01,25.11
Adele Center,Coast,-0.47,39.61,2024-04-01,138.6
Adele Center,Coast,-0.47,39.61,2024-05-01,39.99
Adele Center,Coast,-0.47,39.61,2024-06-01,9.9
Adele Center,Coast,-0.47,39.61,2024-07-01,9.3
Adele Center,Coast,-0.47,39.61,2024-08-01,12.71
Adele Center,Coast,-0.47,39.61,2024-09-01,3.0
Adele Center,Coast,-0.47,39.61,2024-10-01,4.96
Adele Center,Coast,-0.47,39.61,2024-11-01,150.3
Adele Center,Coast,-0.47,39.61,2024-12-01,12.4
Adele Center,Coast,-0.47,39.61,2025-01-01,2.79
Adele Center,Coast,-0.47,39.61,2025-02-01,0.28
Adele Center,Coast,-0.47,39.61,2025-03-01,66.03
Adele Center,Coast,-0.47,39.61,2025-04-01,112.8
Adele Center,Coast,-0.47,39.61,2025-05-01,39.37
Adele Center,Coast,-0.47,39.61,2025-06-01,41.7
Adele Center,Coast,-0.47,39.61,2025-07-01,8.37
Adele Center,Coast,-0.47,39.61,2025-08-01,11.16
Adele Center,Coast,-0.47,39.61,2025-09-01,5.4
Adele Center,Coast,-0.47,39.61,2025-10-01,23.56
Adele Center,Coast,-0.47,39.61,2025-11-01,43.5
Adele Center,Coast,-0.47,39.61,2025-12-01,13.95
Alango Arba,North Eastern,-0.1,39.99,2006-01-01,10.85
Alango Arba,North Eastern,-0.1,39.99,2006-02-01,13.44
Alango Arba,North Eastern,-0.1,39.99,2006-03-01,22.01
Alango Arba,North Eastern,-0.1,39.99,2006-04-01,184.5
Alango Arba,North Eastern,-0.1,39.99,2006-05-01,65.72
Alango Arba,North Eastern,-0.1,39.99,2006-06-01,18.0
Alango Arba,North Eastern,-0.1,39.99,2006-07-01,8.99
Alango Arba,North Eastern,-0.1,39.99,2006-08-01,13.95
Alango Arba,North Eastern,-0.1,39.99,2006-09-01,23.7
Alango Arba,North Eastern,-0.1,39.99,2006-10-01,110.36
Alango Arba,North Eastern,-0.1,39.99,2006-11-01,215.7
Alango Arba,North Eastern,-0.1,39.99,2006-12-01,116.87
Alango Arba,North Eastern,-0.1,39.99,2007-01-01,14.57
Alango Arba,North Eastern,-0.1,39.99,2007-02-01,2.52
Alango Arba,North Eastern,-0.1,39.99,2007-03-01,18.6
Alango Arba,North Eastern,-0.1,39.99,2007-04-01,67.2
Alango Arba,North Eastern,-0.1,39.99,2007-05-01,94.24
Alango Arba,North Eastern,-0.1,39.99,2007-06-01,21.3
Alango Arba,North Eastern,-0.1,39.99,2007-07-01,6.51
Alango Arba,North Eastern,-0.1,39.99,2007-08-01,30.38
Alango Arba,North Eastern,-0.1,39.99,2007-09-01,31.8
Alango Arba,North Eastern,-0.1,39.99,2007-10-01,88.35
Alango Arba,North Eastern,-0.1,39.99,2007-11-01,95.1
Alango Arba,North Eastern,-0.1,39.99,2007-12-01,31.62
Alango Arba,North Eastern,-0.1,39.99,2008-01-01,42.16
Alango Arba,North Eastern,-0.1,39.99,2008-02-01,0.87
Alango Arba,North Eastern,-0.1,39.99,2008-03-01,39.06
Alango Arba,North Eastern,-0.1,39.99,2008-04-01,99.6
Alango Arba,North Eastern,-0.1,39.99,2008-05-01,45.26
Alango Arba,North Eastern,-0.1,39.99,2008-06-01,21.9
Alango Arba,North Eastern,-0.1,39.99,2008-07-01,6.2
Alango Arba,North Eastern,-0.1,39.99,2008-08-01,7.13
Alango Arba,North Eastern,-0.1,39.99,2008-09-01,3.3
Alango Arba,North Eastern,-0.1,39.99,2008-10-01,28.52
Alango Arba,North Eastern,-0.1,39.99,2008-11-01,131.7
Alango Arba,North Eastern,-0.1,39.99,2008-12-01,6.51
Alango Arba,North Eastern,-0.1,39.99,2009-01-01,18.6
Alango Arba,North Eastern,-0.1,39.99,2009-02-01,4.2
Alango Arba,North Eastern,-0.1,39.99,2009-03-01,6.51
Alango Arba,North Eastern,-0.1,39.99,2009-04-01,48.0
Alango Arba,North Eastern,-0.1,39.99,2009-05-01,40.92
Alango Arba,North Eastern,-0.1,39.99,2009-06-01,24.0
Alango Arba,North Eastern,-0.1,39.99,2009-07-01,4.65
Alango Arba,North Eastern,-0.1,39.99,2009-08-01,4.34
Alango Arba,North Eastern,-0.1,39.99,2009-09-01,1.2
Alango Arba,North Eastern,-0.1,39.99,2009-10-01,174.22
Alango Arba,North Eastern,-0.1,39.99,2009-11-01,28.8
Alango Arba,North Eastern,-0.1,39.99,2009-12-01,76.88
Alango Arba,North Eastern,-0.1,39.99,2010-01-01,13.33
Alango Arba,North Eastern,-0.1,39.99,2010-02-01,17.36
Alango Arba,North Eastern,-0.1,39.99,2010-03-01,68.2
Alango Arba,North Eastern,-0.1,39.99,2010-04-01,146.4
Alango Arba,North Eastern,-0.1,39.99,2010-05-01,93.0
Alango Arba,North Eastern,-0.1,39.99,2010-06-01,17.7
Alango Arba,North Eastern,-0.1,39.99,2010-07-01,22.01
Alango Arba,North Eastern,-0.1,39.99,2010-08-01,3.41
Alango Arba,North Eastern,-0.1,39.99,2010-09-01,4.5
Alango Arba,North Eastern,-0.1,39.99,2010-10-01,19.84
Alango Arba,North Eastern,-0.1,39.99,2010-11-01,59.4
Alango Arba,North Eastern,-0.1,39.99,2010-12-01,15.5
Alango Arba,North Eastern,-0.1,39.99,2011-01-01,1.55
Alango Arba,North Eastern,-0.1,39.99,2011-02-01,4.2
Alango Arba,North Eastern,-0.1,39.99,2011-03-01,6.82
Alango Arba,North Eastern,-0.1,39.99,2011-04-01,72.6
Alango Arba,North Eastern,-0.1,39.99,2011-05-01,48.98
Alango Arba,North Eastern,-0.1,39.99,2011-06-01,4.2
Alango Arba,North Eastern,-0.1,39.99,2011-07-01,14.57
Alango Arba,North Eastern,-0.1,39.99,2011-08-01,4.34
Alango Arba,North Eastern,-0.1,39.99,2011-09-01,11.1
Alango Arba,North Eastern,-0.1,39.99,2011-10-01,175.77
Alango Arba,North Eastern,-0.1,39.99,2011-11-01,142.2
Alango Arba,North Eastern,-0.1,39.99,2011-12-01,37.82
Alango Arba,North Eastern,-0.1,39.99,2012-01-01,3.41
Alango Arba,North Eastern,-0.1,39.99,2012-02-01,1.74
Alango Arba,North Eastern,-0.1,39.99,2012-03-01,1.55
Alango Arba,North Eastern,-0.1,39.99,2012-04-01,70.5
Alango Arba,North Eastern,-0.1,39.99,2012-05-01,51.46
Alango Arba,North Eastern,-0.1,39.99,2012-06-01,25.8
Alango Arba,North Eastern,-0.1,39.99,2012-07-01,4.34
Alango Arba,North Eastern,-0.1,39.99,2012-08-01,13.64
Alango Arba,North Eastern,-0.1,39.99,2012-09-01,3.9
Alango Arba,North Eastern,-0.1,39.99,2012-10-01,44.02
Alango Arba,North Eastern,-0.1,39.99,2012-11-01,103.8
Alango Arba,North Eastern,-0.1,39.99,2012-12-01,79.98
Alango Arba,North Eastern,-0.1,39.99,2013-01-01,7.13
Alango Arba,North Eastern,-0.1,39.99,2013-02-01,0.28
Alango Arba,North Eastern,-0.1,39.99,2013-03-01,48.98
Alango Arba,North Eastern,-0.1,39.99,2013-04-01,131.4
Alango Arba,North Eastern,-0.1,39.99,2013-05-01,60.14
Alango Arba,North Eastern,-0.1,39.99,2013-06-01,5.4
Alango Arba,North Eastern,-0.1,39.99,2013-07-01,13.33
Alango Arba,North Eastern,-0.1,39.99,2013-08-01,8.99
Alango Arba,North Eastern,-0.1,39.99,2013-09-01,7.5
Alango Arba,North Eastern,-0.1,39.99,2013-10-01,12.4
Alango Arba,North Eastern,-0.1,39.99,2013-11-01,77.7
Alango Arba,North Eastern,-0.1,39.99,2013-12-01,58.9
Alango Arba,North Eastern,-0.1,39.99,2014-01-01,0.93
Alango Arba,North Eastern,-0.1,39.99,2014-02-01,5.32
Alango Arba,North Eastern,-0.1,39.99,2014-03-01,42.16
Alango Arba,North Eastern,-0.1,39.99,2014-04-01,82.5
Alango Arba,North Eastern,-0.1,39.99,2014-05-01,103.23
Alango Arba,North Eastern,-0.1,39.99,2014-06-01,20.7
Alango Arba,North Eastern,-0.1,39.99,2014-07-01,2.79
Alango Arba,North Eastern,-0.1,39.99,2014-08-01,15.5
Alango Arba,North Eastern,-0.1,39.99,2014-09-01,5.1
Alango Arba,North Eastern,-0.1,39.99,2014-10-01,26.66
Alango Arba,North Eastern,-0.1,39.99,2014-11-01,94.2
Alango Arba,North Eastern,-0.1,39.99,2014-12-01,60.76
Alango Arba,North Eastern,-0.1,39.99,2015-01-01,17.36
Alango Arba,North Eastern,-0.1,39.99,2015-02-01,0.84
Alango Arba,North Eastern,-0.1,39.99,2015-03-01,13.64
Alango Arba,North Eastern,-0.1,39.99,2015-04-01,78.6
Alango Arba,North Eastern,-0.1,39.99,2015-05-01,60.14
Alango Arba,North Eastern,-0.1,39.99,2015-06-01,13.5
Alango Arba,North Eastern,-0.1,39.99,2015-07-01,15.19
Alango Arba,North Eastern,-0.1,39.99,2015-08-01,10.23
Alango Arba,North Eastern,-0.1,39.99,2015-09-01,1.5
Alango Arba,North Eastern,-0.1,39.99,2015-10-01,43.09
Alango Arba,North Eastern,-0.1,39.99,2015-11-01,111.3
Alango Arba,North Eastern,-0.1,39.99,2015-12-01,47.12
Alango Arba,North Eastern,-0.1,39.99,2016-01-01,11.16
Alango Arba,North Eastern,-0.1,39.99,2016-02-01,6.67
Alango Arba,North Eastern,-0.1,39.99,2016-03-01,4.34
Alango Arba,North Eastern,-0.1,39.99,2016-04-01,79.8
Alango Arba,North Eastern,-0.1,39.99,2016-05-01,29.45
Alango Arba,North Eastern,-0.1,39.99,2016-06-01,12.3
Alango Arba,North Eastern,-0.1,39.99,2016-07-01,4.34
Alango Arba,North Eastern,-0.1,39.99,2016-08-01,7.44
Alango Arba,North Eastern,-0.1,39.99,2016-09-01,2.4
Alango Arba,North Eastern,-0.1,39.99,2016-10-01,3.72
Alango Arba,North Eastern,-0.1,39.99,2016-11-01,87.3
Alango Arba,North Eastern,-0.1,39.99,2016-12-01,11.78
Alango Arba,North Eastern,-0.1,39.99,2017-01-01,1.55
Alango Arba,North Eastern,-0.1,39.99,2017-02-01,11.48
Alango Arba,North Eastern,-0.1,39.99,2017-03-01,1.55
Alango Arba,North Eastern,-0.1,39.99,2017-04-01,59.1
Alango Arba,North Eastern,-0.1,39.99,2017-05-01,80.91
Alango Arba,North Eastern,-0.1,39.99,2017-06-01,24.3
Alango Arba,North Eastern,-0.1,39.99,2017-07-01,2.79
Alango Arba,North Eastern,-0.1,39.99,2017-08-01,8.99
Alango Arba,North Eastern,-0.1,39.99,2017-09-01,11.7
Alango Arba,North Eastern,-0.1,39.99,2017-10-01,35.34
Alango Arba,North Eastern,-0.1,39.99,2017-11-01,136.2
Alango Arba,North Eastern,-0.1,39.99,2017-12-01,2.17
Alango Arba,North Eastern,-0.1,39.99,2018-01-01,0.62
Alango Arba,North Eastern,-0.1,39.99,2018-02-01,1.12
Alango Arba,North Eastern,-0.1,39.99,2018-03-01,116.56
Alango Arba,North Eastern,-0.1,39.99,2018-04-01,148.8
Alango Arba,North Eastern,-0.1,39.99,2018-05-01,89.9
Alango Arba,North Eastern,-0.1,39.99,2018-06-01,24.6
Alango Arba,North Eastern,-0.1,39.99,2018-07-01,17.36
Alango Arba,North Eastern,-0.1,39.99,2018-08-01,3.72
Alango Arba,North Eastern,-0.1,39.99,2018-09-01,8.1
Alango Arba,North Eastern,-0.1,39.99,2018-10-01,33.79
Alango Arba,North Eastern,-0.1,39.99,2018-11-01,36.9
Alango Arba,North Eastern,-0.1,39.99,2018-12-01,40.3
Alango Arba,North Eastern,-0.1,39.99,2019-01-01,11.16
Alango Arba,North Eastern,-0.1,39.99,2019-02-01,1.68
Alango Arba,North Eastern,-0.1,39.99,2019-03-01,5.89
Alango Arba,North Eastern,-0.1,39.99,2019-04-01,26.7
Alango Arba,North Eastern,-0.1,39.99,2019-05-01,281.79
Alango Arba,North Eastern,-0.1,39.99,2019-06-01,6.0
Alango Arba,North Eastern,-0.1,39.99,2019-07-01,16.12
Alango Arba,North Eastern,-0.1,39.99,2019-08-01,5.58
Alango Arba,North Eastern,-0.1,39.99,2019-09-01,26.1
Alango Arba,North Eastern,-0.1,39.99,2019-10-01,161.2
Alango Arba,North Eastern,-0.1,39.99,2019-11-01,134.4
Alango Arba,North Eastern,-0.1,39.99,2019-12-01,168.33
Alango Arba,North Eastern,-0.1,39.99,2020-01-01,79.05
Alango Arba,North Eastern,-0.1,39.99,2020-02-01,21.46
Alango Arba,North Eastern,-0.1,39.99,2020-03-01,29.14
Alango Arba,North Eastern,-0.1,39.99,2020-04-01,159.9
Alango Arba,North Eastern,-0.1,39.99,2020-05-01,78.43
Alango Arba,North Eastern,-0.1,39.99,2020-06-01,22.2
Alango Arba,North Eastern,-0.1,39.99,2020-07-01,13.64
Alango Arba,North Eastern,-0.1,39.99,2020-08-01,8.37
Alango Arba,North Eastern,-0.1,39.99,2020-09-01,30.9
Alango Arba,North Eastern,-0.1,39.99,2020-10-01,21.08
Alango Arba,North Eastern,-0.1,39.99,2020-11-01,116.4
Alango Arba,North Eastern,-0.1,39.99,2020-12-01,39.99
Alango Arba,North Eastern,-0.1,39.99,2021-01-01,10.85
Alango Arba,North Eastern,-0.1,39.99,2021-02-01,2.52
Alango Arba,North Eastern,-0.1,39.99,2021-03-01,64.17
Alango Arba,North Eastern,-0.1,39.99,2021-04-01,44.1
Alango Arba,North Eastern,-0.1,39.99,2021-05-01,49.29
Alango Arba,North Eastern,-0.1,39.99,2021-06-01,19.2
Alango Arba,North Eastern,-0.1,39.99,2021-07-01,6.82
Alango Arba,North Eastern,-0.1,39.99,2021-08-01,3.72
Alango Arba,North Eastern,-0.1,39.99,2021-09-01,4.8
Alango Arba,North Eastern,-0.1,39.99,2021-10-01,17.98
Alango Arba,North Eastern,-0.1,39.99,2021-11-01,285.9
Alango Arba,North Eastern,-0.1,39.99,2021-12-01,101.68
Alango Arba,North Eastern,-0.1,39.99,2022-01-01,7.44
Alango Arba,North Eastern,-0.1,39.99,2022-02-01,3.08
Alango Arba,North Eastern,-0.1,39.99,2022-03-01,11.78
Alango Arba,North Eastern,-0.1,39.99,2022-04-01,311.1
Alango Arba,North Eastern,-0.1,39.99,2022-05-01,85.25
Alango Arba,North Eastern,-0.1,39.99,2022-06-01,20.1
Alango Arba,North Eastern,-0.1,39.99,2022-07-01,15.81
Alango Arba,North Eastern,-0.1,39.99,2022-08-01,32.55
Alango Arba,North Eastern,-0.1,39.99,2022-09-01,13.5
Alango Arba,North Eastern,-0.1,39.99,2022-10-01,23.87
Alango Arba,North Eastern,-0.1,39.99,2022-11-01,77.1
Alango Arba,North Eastern,-0.1,39.99,2022-12-01,20.15
