code,county,year_month,rainfall_mm,date
KEN.1337,Garissa,1950-01,13.63,1950-01-01
KEN.1338,Mandera,1950-01,25.02,1950-01-01
KEN.1339,Baringo,1950-01,21.27,1950-01-01
KEN.1331,Uasin Gishu,1950-02,60.87,1950-02-01
KEN.13310,Kisii,1950-02,113.79,1950-02-01
KEN.13311,Bomet,1950-02,90.61,1950-02-01
KEN.13312,Nyamira,1950-02,102.95,1950-02-01
KEN.13313,Busia,1950-02,86.85,1950-02-01
KEN.13314,Bungoma,1950-02,69.53,1950-02-01
KEN.13315,Tana River,1950-02,10.56,1950-02-01
KEN.13316,Kakamega,1950-02,47.0,1950-02-01
KEN.13317,Meru,1950-02,47.21,1950-02-01
KEN.13318,Mombasa,1950-02,18.25,1950-02-01
KEN.13319,Trans Nzoia,1950-02,49.53,1950-02-01
KEN.1332,Kericho,1950-02,66.24,1950-02-01
KEN.13320,Nairobi,1950-02,36.76,1950-02-01
KEN.13321,Wajir,1950-02,2.0,1950-02-01
KEN.13322,Vihiga,1950-02,78.31,1950-02-01
KEN.13323,Narok,1950-02,61.46,1950-02-01
KEN.13324,Embu,1950-02,41.45,1950-02-01
KEN.13325,Kilifi,1950-02,18.13,1950-02-01
KEN.13326,Murang'a,1950-02,41.67,1950-02-01
KEN.13327,Kiambu,1950-02,40.3,1950-02-01
KEN.13328,Kirinyaga,1950-02,79.21,1950-02-01
KEN.13329,Homa Bay,1950-02,97.62,1950-02-01
KEN.1333,Nandi,1950-02,68.85,1950-02-01
KEN.13330,Isiolo,1950-02,8.89,1950-02-01
KEN.13331,West Pokot,1950-02,19.92,1950-02-01
KEN.13332,Makueni,1950-02,30.94,1950-02-01
KEN.13333,Kajiado,1950-02,44.12,1950-02-01
KEN.13334,Machakos,1950-02,38.33,1950-02-01
KEN.13335,Elgeyo-Marakwet,1950-02,55.14,1950-02-01
KEN.13336,Nyeri,1950-02,68.75,1950-02-01
KEN.13337,Kwale,1950-02,21.24,1950-02-01
KEN.13338,Nyandarua,1950-02,55.19,1950-02-01
KEN.13339,Kisumu,1950-02,62.41,1950-02-01
KEN.1334,Siaya,1950-02,110.7,1950-02-01
KEN.13340,Kitui,1950-02,20.94,1950-02-01
KEN.13341,Laikipia,1950-02,37.45,1950-02-01
KEN.13342,Marsabit,1950-02,10.19,1950-02-01
KEN.13343,Lamu,1950-02,16.75,1950-02-01
KEN.13344,Turkana,1950-02,8.22,1950-02-01
KEN.13345,Tharaka-Nithi,1950-02,41.46,1950-02-01
KEN.13346,Taita Taveta,1950-02,21.86,1950-02-01
KEN.13347,Samburu,1950-02,13.91,1950-02-01
KEN.1335,Migori,1950-02,91.73,1950-02-01
KEN.1336,Nakuru,1950-02,42.6,1950-02-01
KEN.1337,Garissa,1950-02,6.2,1950-02-01
KEN.1338,Mandera,1950-02,3.31,1950-02-01
KEN.1339,Baringo,1950-02,14.78,1950-02-01
KEN.1331,Uasin Gishu,1950-03,315.3,1950-03-01
KEN.13310,Kisii,1950-03,309.57,1950-03-01
KEN.13311,Bomet,1950-03,298.18,1950-03-01
KEN.13312,Nyamira,1950-03,349.93,1950-03-01
KEN.13313,Busia,1950-03,283.69,1950-03-01
KEN.13314,Bungoma,1950-03,258.17,1950-03-01
KEN.13315,Tana River,1950-03,100.84,1950-03-01
KEN.13316,Kakamega,1950-03,234.24,1950-03-01
KEN.13317,Meru,1950-03,134.22,1950-03-01
KEN.13318,Mombasa,1950-03,122.9,1950-03-01
KEN.13319,Trans Nzoia,1950-03,205.21,1950-03-01
KEN.1332,Kericho,1950-03,433.76,1950-03-01
KEN.13320,Nairobi,1950-03,122.87,1950-03-01
KEN.13321,Wajir,1950-03,128.39,1950-03-01
KEN.13322,Vihiga,1950-03,340.02,1950-03-01
KEN.13323,Narok,1950-03,162.52,1950-03-01
KEN.13324,Embu,1950-03,146.83,1950-03-01
KEN.13325,Kilifi,1950-03,136.23,1950-03-01
KEN.13326,Murang'a,1950-03,152.23,1950-03-01
KEN.13327,Kiambu,1950-03,128.54,1950-03-01
KEN.13328,Kirinyaga,1950-03,163.86,1950-03-01
KEN.13329,Homa Bay,1950-03,357.92,1950-03-01
KEN.1333,Nandi,1950-03,408.08,1950-03-01
KEN.13330,Isiolo,1950-03,108.17,1950-03-01
KEN.13331,West Pokot,1950-03,164.25,1950-03-01
KEN.13332,Makueni,1950-03,157.12,1950-03-01
KEN.13333,Kajiado,1950-03,139.38,1950-03-01
KEN.13334,Machakos,1950-03,158.36,1950-03-01
KEN.13335,Elgeyo-Marakwet,1950-03,239.21,1950-03-01
KEN.13336,Nyeri,1950-03,139.3,1950-03-01
KEN.13337,Kwale,1950-03,135.77,1950-03-01
KEN.13338,Nyandarua,1950-03,221.18,1950-03-01
KEN.13339,Kisumu,1950-03,369.56,1950-03-01
KEN.1334,Siaya,1950-03,361.27,1950-03-01
KEN.13340,Kitui,1950-03,137.03,1950-03-01
KEN.13341,Laikipia,1950-03,104.7,1950-03-01
KEN.13342,Marsabit,1950-03,106.48,1950-03-01
KEN.13343,Lamu,1950-03,164.45,1950-03-01
KEN.13344,Turkana,1950-03,103.09,1950-03-01
KEN.13345,Tharaka-Nithi,1950-03,141.86,1950-03-01
KEN.13346,Taita Taveta,1950-03,146.48,1950-03-01
KEN.13347,Samburu,1950-03,109.33,1950-03-01
KEN.1335,Migori,1950-03,256.54,1950-03-01
KEN.1336,Nakuru,1950-03,232.24,1950-03-01
KEN.1337,Garissa,1950-03,111.93,1950-03-01
KEN.1338,Mandera,1950-03,129.2,1950-03-01
KEN.1339,Baringo,1950-03,178.41,1950-03-01
KEN.1331,Uasin Gishu,1950-04,402.23,1950-04-01
KEN.13310,Kisii,1950-04,357.53,1950-04-01
KEN.13311,Bomet,1950-04,364.82,1950-04-01
KEN.13312,Nyamira,1950-04,354.19,1950-04-01
KEN.13313,Busia,1950-04,255.97,1950-04-01
KEN.13314,Bungoma,1950-04,310.98,1950-04-01
KEN.13315,Tana River,1950-04,137.25,1950-04-01
KEN.13316,Kakamega,1950-04,221.63,1950-04-01
KEN.13317,Meru,1950-04,298.28,1950-04-01
KEN.13318,Mombasa,1950-04,239.66,1950-04-01
KEN.13319,Trans Nzoia,1950-04,399.71,1950-04-01
KEN.1332,Kericho,1950-04,423.95,1950-04-01
KEN.13320,Nairobi,1950-04,253.17,1950-04-01
KEN.13321,Wajir,1950-04,178.54,1950-04-01
KEN.13322,Vihiga,1950-04,281.21,1950-04-01
KEN.13323,Narok,1950-04,254.25,1950-04-01
KEN.13324,Embu,1950-04,299.0,1950-04-01
KEN.13325,Kilifi,1950-04,179.28,1950-04-01
KEN.13326,Murang'a,1950-04,363.01,1950-04-01
KEN.13327,Kiambu,1950-04,299.37,1950-04-01
KEN.13328,Kirinyaga,1950-04,328.97,1950-04-01
KEN.13329,Homa Bay,1950-04,293.63,1950-04-01
KEN.1333,Nandi,1950-04,349.8,1950-04-01
KEN.13330,Isiolo,1950-04,160.86,1950-04-01
KEN.13331,West Pokot,1950-04,532.48,1950-04-01
KEN.13332,Makueni,1950-04,230.92,1950-04-01
KEN.13333,Kajiado,1950-04,244.72,1950-04-01
KEN.13334,Machakos,1950-04,279.31,1950-04-01
KEN.13335,Elgeyo-Marakwet,1950-04,807.88,1950-04-01
KEN.13336,Nyeri,1950-04,280.08,1950-04-01
KEN.13337,Kwale,1950-04,153.09,1950-04-01
KEN.13338,Nyandarua,1950-04,394.94,1950-04-01
KEN.13339,Kisumu,1950-04,283.75,1950-04-01
KEN.1334,Siaya,1950-04,296.03,1950-04-01
KEN.13340,Kitui,1950-04,204.29,1950-04-01
KEN.13341,Laikipia,1950-04,336.61,1950-04-01
KEN.13342,Marsabit,1950-04,160.7,1950-04-01
KEN.13343,Lamu,1950-04,242.34,1950-04-01
KEN.13344,Turkana,1950-04,240.81,1950-04-01
KEN.13345,Tharaka-Nithi,1950-04,288.01,1950-04-01
KEN.13346,Taita Taveta,1950-04,147.7,1950-04-01
KEN.13347,Samburu,1950-04,236.02,1950-04-01
KEN.1335,Migori,1950-04,266.91,1950-04-01
KEN.1336,Nakuru,1950-04,367.77,1950-04-01
KEN.1337,Garissa,1950-04,145.32,1950-04-01
KEN.1338,Mandera,1950-04,204.95,1950-04-01
KEN.1339,Baringo,1950-04,341.57,1950-04-01
KEN.1331,Uasin Gishu,1950-05,343.3,1950-05-01
KEN.13310,Kisii,1950-05,235.64,1950-05-01
KEN.13311,Bomet,1950-05,224.86,1950-05-01
KEN.13312,Nyamira,1950-05,251.87,1950-05-01
KEN.13313,Busia,1950-05,316.64,1950-05-01
KEN.13314,Bungoma,1950-05,287.69,1950-05-01
KEN.13315,Tana River,1950-05,51.83,1950-05-01
KEN.13316,Kakamega,1950-05,253.16,1950-05-01
KEN.13317,Meru,1950-05,130.72,1950-05-01
KEN.13318,Mombasa,1950-05,145.39,1950-05-01
KEN.13319,Trans Nzoia,1950-05,282.31,1950-05-01
KEN.1332,Kericho,1950-05,373.68,1950-05-01
KEN.13320,Nairobi,1950-05,139.22,1950-05-01
KEN.13321,Wajir,1950-05,66.93,1950-05-01
KEN.13322,Vihiga,1950-05,310.47,1950-05-01
KEN.13323,Narok,1950-05,132.87,1950-05-01
KEN.13324,Embu,1950-05,186.01,1950-05-01
KEN.13325,Kilifi,1950-05,88.28,1950-05-01
KEN.13326,Murang'a,1950-05,227.9,1950-05-01
KEN.13327,Kiambu,1950-05,178.74,1950-05-01
KEN.13328,Kirinyaga,1950-05,242.26,1950-05-01
KEN.13329,Homa Bay,1950-05,268.22,1950-05-01
KEN.1333,Nandi,1950-05,338.75,1950-05-01
KEN.13330,Isiolo,1950-05,40.62,1950-05-01
KEN.13331,West Pokot,1950-05,382.91,1950-05-01
KEN.13332,Makueni,1950-05,79.44,1950-05-01
KEN.13333,Kajiado,1950-05,118.26,1950-05-01
KEN.13334,Machakos,1950-05,117.04,1950-05-01
KEN.13335,Elgeyo-Marakwet,1950-05,588.5,1950-05-01
KEN.13336,Nyeri,1950-05,178.95,1950-05-01
KEN.13337,Kwale,1950-05,82.0,1950-05-01
KEN.13338,Nyandarua,1950-05,316.02,1950-05-01
KEN.13339,Kisumu,1950-05,301.71,1950-05-01
KEN.1334,Siaya,1950-05,338.08,1950-05-01
KEN.13340,Kitui,1950-05,63.17,1950-05-01
KEN.13341,Laikipia,1950-05,192.31,1950-05-01
KEN.13342,Marsabit,1950-05,78.76,1950-05-01
KEN.13343,Lamu,1950-05,172.93,1950-05-01
KEN.13344,Turkana,1950-05,149.05,1950-05-01
KEN.13345,Tharaka-Nithi,1950-05,142.63,1950-05-01
KEN.13346,Taita Taveta,1950-05,55.4,1950-05-01
KEN.13347,Samburu,1950-05,116.3,1950-05-01
KEN.1335,Migori,1950-05,177.78,1950-05-01
KEN.1336,Nakuru,1950-05,267.92,1950-05-01
KEN.1337,Garissa,1950-05,67.3,1950-05-01
KEN.1338,Mandera,1950-05,98.89,1950-05-01
KEN.1339,Baringo,1950-05,293.54,1950-05-01
KEN.1331,Uasin Gishu,1950-06,263.11,1950-06-01
KEN.13310,Kisii,1950-06,94.43,1950-06-01
KEN.13311,Bomet,1950-06,95.99,1950-06-01
KEN.13312,Nyamira,1950-06,137.77,1950-06-01
KEN.13313,Busia,1950-06,104.79,1950-06-01
KEN.13314,Bungoma,1950-06,213.47,1950-06-01
KEN.13315,Tana River,1950-06,6.49,1950-06-01
KEN.13316,Kakamega,1950-06,133.02,1950-06-01
KEN.13317,Meru,1950-06,64.0,1950-06-01
KEN.13318,Mombasa,1950-06,73.23,1950-06-01
KEN.13319,Trans Nzoia,1950-06,266.64,1950-06-01
KEN.1332,Kericho,1950-06,178.94,1950-06-01
KEN.13320,Nairobi,1950-06,44.85,1950-06-01
KEN.13321,Wajir,1950-06,5.51,1950-06-01
KEN.13322,Vihiga,1950-06,129.81,1950-06-01
KEN.13323,Narok,1950-06,41.65,1950-06-01
KEN.13324,Embu,1950-06,47.5,1950-06-01
KEN.13325,Kilifi,1950-06,26.57,1950-06-01
KEN.13326,Murang'a,1950-06,80.24,1950-06-01
KEN.13327,Kiambu,1950-06,73.54,1950-06-01
KEN.13328,Kirinyaga,1950-06,79.39,1950-06-01
KEN.13329,Homa Bay,1950-06,92.59,1950-06-01
KEN.1333,Nandi,1950-06,162.79,1950-06-01
KEN.13330,Isiolo,1950-06,4.27,1950-06-01
KEN.13331,West Pokot,1950-06,435.26,1950-06-01
KEN.13332,Makueni,1950-06,4.63,1950-06-01
KEN.13333,Kajiado,1950-06,12.56,1950-06-01
KEN.13334,Machakos,1950-06,15.08,1950-06-01
KEN.13335,Elgeyo-Marakwet,1950-06,605.21,1950-06-01
KEN.13336,Nyeri,1950-06,126.23,1950-06-01
KEN.13337,Kwale,1950-06,24.88,1950-06-01
KEN.13338,Nyandarua,1950-06,183.8,1950-06-01
KEN.13339,Kisumu,1950-06,125.68,1950-06-01
KEN.1334,Siaya,1950-06,99.95,1950-06-01
KEN.13340,Kitui,1950-06,2.24,1950-06-01
KEN.13341,Laikipia,1950-06,155.33,1950-06-01
KEN.13342,Marsabit,1950-06,10.78,1950-06-01
KEN.13343,Lamu,1950-06,61.02,1950-06-01
KEN.13344,Turkana,1950-06,93.26,1950-06-01
KEN.13345,Tharaka-Nithi,1950-06,52.35,1950-06-01
KEN.13346,Taita Taveta,1950-06,4.04,1950-06-01
KEN.13347,Samburu,1950-06,69.29,1950-06-01
KEN.1335,Migori,1950-06,36.77,1950-06-01
KEN.1336,Nakuru,1950-06,163.64,1950-06-01
KEN.1337,Garissa,1950-06,12.85,1950-06-01
KEN.1338,Mandera,1950-06,12.77,1950-06-01
KEN.1339,Baringo,1950-06,267.8,1950-06-01
KEN.1331,Uasin Gishu,1950-07,201.86,1950-07-01
KEN.13310,Kisii,1950-07,44.76,1950-07-01
KEN.13311,Bomet,1950-07,37.83,1950-07-01
KEN.13312,Nyamira,1950-07,79.38,1950-07-01
KEN.13313,Busia,1950-07,49.96,1950-07-01
KEN.13314,Bungoma,1950-07,107.81,1950-07-01
KEN.13315,Tana River,1950-07,7.39,1950-07-01
KEN.13316,Kakamega,1950-07,64.01,1950-07-01
KEN.13317,Meru,1950-07,107.6,1950-07-01
KEN.13318,Mombasa,1950-07,63.14,1950-07-01
KEN.13319,Trans Nzoia,1950-07,180.1,1950-07-01
KEN.1332,Kericho,1950-07,89.76,1950-07-01
KEN.13320,Nairobi,1950-07,12.57,1950-07-01
KEN.13321,Wajir,1950-07,6.64,1950-07-01
KEN.13322,Vihiga,1950-07,68.13,1950-07-01
KEN.13323,Narok,1950-07,17.15,1950-07-01
KEN.13324,Embu,1950-07,44.06,1950-07-01
KEN.13325,Kilifi,1950-07,24.5,1950-07-01
KEN.13326,Murang'a,1950-07,46.48,1950-07-01
KEN.13327,Kiambu,1950-07,22.56,1950-07-01
KEN.13328,Kirinyaga,1950-07,76.34,1950-07-01
KEN.13329,Homa Bay,1950-07,75.56,1950-07-01
KEN.1333,Nandi,1950-07,79.01,1950-07-01
KEN.13330,Isiolo,1950-07,20.1,1950-07-01
KEN.13331,West Pokot,1950-07,367.14,1950-07-01
KEN.13332,Makueni,1950-07,3.43,1950-07-01
KEN.13333,Kajiado,1950-07,7.46,1950-07-01
KEN.13334,Machakos,1950-07,10.36,1950-07-01
KEN.13335,Elgeyo-Marakwet,1950-07,545.28,1950-07-01
KEN.13336,Nyeri,1950-07,112.46,1950-07-01
KEN.13337,Kwale,1950-07,29.53,1950-07-01
KEN.13338,Nyandarua,1950-07,148.79,1950-07-01
KEN.13339,Kisumu,1950-07,76.03,1950-07-01
KEN.1334,Siaya,1950-07,65.37,1950-07-01
KEN.13340,Kitui,1950-07,1.93,1950-07-01
KEN.13341,Laikipia,1950-07,209.3,1950-07-01
KEN.13342,Marsabit,1950-07,38.71,1950-07-01
KEN.13343,Lamu,1950-07,39.29,1950-07-01
KEN.13344,Turkana,1950-07,156.41,1950-07-01
KEN.13345,Tharaka-Nithi,1950-07,64.92,1950-07-01
KEN.13346,Taita Taveta,1950-07,3.48,1950-07-01
KEN.13347,Samburu,1950-07,115.53,1950-07-01
KEN.1335,Migori,1950-07,30.98,1950-07-01
KEN.1336,Nakuru,1950-07,88.05,1950-07-01
KEN.1337,Garissa,1950-07,9.01,1950-07-01
KEN.1338,Mandera,1950-07,6.02,1950-07-01
KEN.1339,Baringo,1950-07,319.18,1950-07-01
KEN.1331,Uasin Gishu,1950-08,234.48,1950-08-01
KEN.13310,Kisii,1950-08,75.91,1950-08-01
KEN.13311,Bomet,1950-08,58.12,1950-08-01
KEN.13312,Nyamira,1950-08,104.23,1950-08-01
KEN.13313,Busia,1950-08,49.97,1950-08-01
KEN.13314,Bungoma,1950-08,109.45,1950-08-01
KEN.13315,Tana River,1950-08,5.21,1950-08-01
KEN.13316,Kakamega,1950-08,62.51,1950-08-01
KEN.13317,Meru,1950-08,109.75,1950-08-01
KEN.13318,Mombasa,1950-08,33.47,1950-08-01
KEN.13319,Trans Nzoia,1950-08,196.54,1950-08-01
KEN.1332,Kericho,1950-08,107.62,1950-08-01
KEN.13320,Nairobi,1950-08,24.18,1950-08-01
KEN.13321,Wajir,1950-08,7.88,1950-08-01
KEN.13322,Vihiga,1950-08,52.4,1950-08-01
KEN.13323,Narok,1950-08,41.67,1950-08-01
KEN.13324,Embu,1950-08,50.8,1950-08-01
KEN.13325,Kilifi,1950-08,14.36,1950-08-01
KEN.13326,Murang'a,1950-08,73.82,1950-08-01
KEN.13327,Kiambu,1950-08,47.96,1950-08-01
KEN.13328,Kirinyaga,1950-08,89.23,1950-08-01
KEN.13329,Homa Bay,1950-08,73.45,1950-08-01
KEN.1333,Nandi,1950-08,88.44,1950-08-01
KEN.13330,Isiolo,1950-08,16.38,1950-08-01
KEN.13331,West Pokot,1950-08,477.99,1950-08-01
KEN.13332,Makueni,1950-08,5.26,1950-08-01
KEN.13333,Kajiado,1950-08,20.63,1950-08-01
KEN.13334,Machakos,1950-08,16.07,1950-08-01
KEN.13335,Elgeyo-Marakwet,1950-08,639.34,1950-08-01
KEN.13336,Nyeri,1950-08,141.42,1950-08-01
KEN.13337,Kwale,1950-08,19.31,1950-08-01
KEN.13338,Nyandarua,1950-08,176.29,1950-08-01
KEN.13339,Kisumu,1950-08,68.25,1950-08-01
KEN.1334,Siaya,1950-08,52.56,1950-08-01
KEN.13340,Kitui,1950-08,3.74,1950-08-01
KEN.13341,Laikipia,1950-08,225.23,1950-08-01
KEN.13342,Marsabit,1950-08,61.91,1950-08-01
KEN.13343,Lamu,1950-08,19.71,1950-08-01
KEN.13344,Turkana,1950-08,217.61,1950-08-01
KEN.13345,Tharaka-Nithi,1950-08,63.23,1950-08-01
KEN.13346,Taita Taveta,1950-08,4.55,1950-08-01
KEN.13347,Samburu,1950-08,144.95,1950-08-01
KEN.1335,Migori,1950-08,58.43,1950-08-01
KEN.1336,Nakuru,1950-08,122.33,1950-08-01
KEN.1337,Garissa,1950-08,6.13,1950-08-01
KEN.1338,Mandera,1950-08,8.4,1950-08-01
KEN.1339,Baringo,1950-08,372.49,1950-08-01
KEN.1331,Uasin Gishu,1950-09,300.73,1950-09-01
KEN.13310,Kisii,1950-09,91.34,1950-09-01
KEN.13311,Bomet,1950-09,70.62,1950-09-01
KEN.13312,Nyamira,1950-09,109.95,1950-09-01
KEN.13313,Busia,1950-09,132.54,1950-09-01
KEN.13314,Bungoma,1950-09,246.08,1950-09-01
KEN.13315,Tana River,1950-09,10.73,1950-09-01
KEN.13316,Kakamega,1950-09,120.69,1950-09-01
KEN.13317,Meru,1950-09,98.14,1950-09-01
KEN.13318,Mombasa,1950-09,49.97,1950-09-01
KEN.13319,Trans Nzoia,1950-09,339.65,1950-09-01
KEN.1332,Kericho,1950-09,183.09,1950-09-01
KEN.13320,Nairobi,1950-09,13.75,1950-09-01
KEN.13321,Wajir,1950-09,17.83,1950-09-01
KEN.13322,Vihiga,1950-09,120.7,1950-09-01
KEN.13323,Narok,1950-09,22.47,1950-09-01
KEN.13324,Embu,1950-09,59.41,1950-09-01
KEN.13325,Kilifi,1950-09,27.58,1950-09-01
KEN.13326,Murang'a,1950-09,66.18,1950-09-01
KEN.13327,Kiambu,1950-09,36.56,1950-09-01
KEN.13328,Kirinyaga,1950-09,95.1,1950-09-01
KEN.13329,Homa Bay,1950-09,131.15,1950-09-01
KEN.1333,Nandi,1950-09,198.34,1950-09-01
KEN.13330,Isiolo,1950-09,6.45,1950-09-01
KEN.13331,West Pokot,1950-09,365.26,1950-09-01
KEN.13332,Makueni,1950-09,5.49,1950-09-01
KEN.13333,Kajiado,1950-09,6.7,1950-09-01
KEN.13334,Machakos,1950-09,9.42,1950-09-01
KEN.13335,Elgeyo-Marakwet,1950-09,532.39,1950-09-01
KEN.13336,Nyeri,1950-09,123.86,1950-09-01
KEN.13337,Kwale,1950-09,34.52,1950-09-01
KEN.13338,Nyandarua,1950-09,186.09,1950-09-01
KEN.13339,Kisumu,1950-09,117.14,1950-09-01
KEN.1334,Siaya,1950-09,120.71,1950-09-01
KEN.13340,Kitui,1950-09,4.9,1950-09-01
KEN.13341,Laikipia,1950-09,148.07,1950-09-01
KEN.13342,Marsabit,1950-09,23.73,1950-09-01
KEN.13343,Lamu,1950-09,43.6,1950-09-01
KEN.13344,Turkana,1950-09,96.71,1950-09-01
KEN.13345,Tharaka-Nithi,1950-09,82.66,1950-09-01
KEN.13346,Taita Taveta,1950-09,7.97,1950-09-01
KEN.13347,Samburu,1950-09,61.48,1950-09-01
KEN.1335,Migori,1950-09,67.24,1950-09-01
KEN.1336,Nakuru,1950-09,122.69,1950-09-01
KEN.1337,Garissa,1950-09,20.95,1950-09-01
KEN.1338,Mandera,1950-09,38.91,1950-09-01
KEN.1339,Baringo,1950-09,172.56,1950-09-01
KEN.1331,Uasin Gishu,1950-10,165.11,1950-10-01
KEN.13310,Kisii,1950-10,127.45,1950-10-01
KEN.13311,Bomet,1950-10,113.21,1950-10-01
KEN.13312,Nyamira,1950-10,132.68,1950-10-01
KEN.13313,Busia,1950-10,187.47,1950-10-01
KEN.13314,Bungoma,1950-10,157.24,1950-10-01
KEN.13315,Tana River,1950-10,19.6,1950-10-01
KEN.13316,Kakamega,1950-10,132.14,1950-10-01
KEN.13317,Meru,1950-10,84.09,1950-10-01
KEN.13318,Mombasa,1950-10,46.31,1950-10-01
KEN.13319,Trans Nzoia,1950-10,182.39,1950-10-01
KEN.1332,Kericho,1950-10,159.12,1950-10-01
KEN.13320,Nairobi,1950-10,31.41,1950-10-01
KEN.13321,Wajir,1950-10,16.75,1950-10-01
KEN.13322,Vihiga,1950-10,238.8,1950-10-01
KEN.13323,Narok,1950-10,44.97,1950-10-01
KEN.13324,Embu,1950-10,61.02,1950-10-01
KEN.13325,Kilifi,1950-10,32.33,1950-10-01
KEN.13326,Murang'a,1950-10,61.52,1950-10-01
KEN.13327,Kiambu,1950-10,41.04,1950-10-01
KEN.13328,Kirinyaga,1950-10,88.57,1950-10-01
KEN.13329,Homa Bay,1950-10,220.31,1950-10-01
KEN.1333,Nandi,1950-10,185.08,1950-10-01
KEN.13330,Isiolo,1950-10,21.81,1950-10-01
KEN.13331,West Pokot,1950-10,190.53,1950-10-01
KEN.13332,Makueni,1950-10,33.77,1950-10-01
KEN.13333,Kajiado,1950-10,26.59,1950-10-01
KEN.13334,Machakos,1950-10,34.42,1950-10-01
KEN.13335,Elgeyo-Marakwet,1950-10,226.52,1950-10-01
KEN.13336,Nyeri,1950-10,86.08,1950-10-01
KEN.13337,Kwale,1950-10,41.0,1950-10-01
KEN.13338,Nyandarua,1950-10,116.6,1950-10-01
KEN.13339,Kisumu,1950-10,191.79,1950-10-01
KEN.1334,Siaya,1950-10,234.96,1950-10-01
KEN.13340,Kitui,1950-10,22.74,1950-10-01
KEN.13341,Laikipia,1950-10,85.96,1950-10-01
KEN.13342,Marsabit,1950-10,50.06,1950-10-01
KEN.13343,Lamu,1950-10,47.62,1950-10-01
KEN.13344,Turkana,1950-10,69.97,1950-10-01
KEN.13345,Tharaka-Nithi,1950-10,63.62,1950-10-01
KEN.13346,Taita Taveta,1950-10,24.57,1950-10-01
KEN.13347,Samburu,1950-10,62.78,1950-10-01
KEN.1335,Migori,1950-10,115.46,1950-10-01
KEN.1336,Nakuru,1950-10,84.4,1950-10-01
KEN.1337,Garissa,1950-10,23.1,1950-10-01
KEN.1338,Mandera,1950-10,31.77,1950-10-01
KEN.1339,Baringo,1950-10,88.97,1950-10-01
KEN.1331,Uasin Gishu,1950-11,126.41,1950-11-01
KEN.13310,Kisii,1950-11,274.55,1950-11-01
KEN.13311,Bomet,1950-11,198.72,1950-11-01
KEN.13312,Nyamira,1950-11,266.09,1950-11-01
KEN.13313,Busia,1950-11,233.82,1950-11-01
KEN.13314,Bungoma,1950-11,175.71,1950-11-01
KEN.13315,Tana River,1950-11,76.44,1950-11-01
KEN.13316,Kakamega,1950-11,172.85,1950-11-01
KEN.13317,Meru,1950-11,185.09,1950-11-01
KEN.13318,Mombasa,1950-11,85.78,1950-11-01
KEN.13319,Trans Nzoia,1950-11,144.03,1950-11-01
KEN.1332,Kericho,1950-11,281.08,1950-11-01
