date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,date_month,rainfall_mm,GPR,diesel_price_kes,rainfall_lag3,rainfall_lag6,price_per_kg
2021-06-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,9.78,0.091,2021-06-01,7.316666666666666,74.12712097167969,107.66,6.166666666666667,,
2021-08-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,9.39,0.086,2021-08-01,3.623333333333333,89.4865493774414,107.66,72.40666666666667,58.44333333333333,
2021-09-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,9.96,0.091,2021-09-01,6.173333333333333,80.69696807861328,115.6,16.683333333333334,1.5099999999999998,
2021-10-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.09,2021-10-01,5.34,79.02923583984375,110.6,7.316666666666666,6.166666666666667,
2021-11-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.089,2021-11-01,44.23,86.56914520263672,110.6,3.623333333333333,72.40666666666667,
2021-12-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,9.66,0.086,2021-12-01,32.21333333333334,105.34542083740234,129.72,6.173333333333333,16.683333333333334,
2022-11-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.082,2022-11-01,31.036666666666665,116.7162857055664,162.0,5.34,7.316666666666666,
2023-01-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.081,2023-01-01,3.86,104.2670440673828,162.0,44.23,3.623333333333333,
2023-02-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.08,2023-02-01,0.3133333333333333,120.99437713623048,162.0,32.21333333333334,6.173333333333333,
2023-03-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.077,2023-03-01,64.58999999999999,105.37997436523438,162.0,31.036666666666665,5.34,
2023-04-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.074,2023-04-01,111.08333333333331,106.80965423583984,162.0,3.86,44.23,
2023-05-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.073,2023-05-01,14.676666666666668,108.46768188476562,168.4,0.3133333333333333,32.21333333333334,
2023-06-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.072,2023-06-01,5.836666666666667,110.52894592285156,167.28,64.58999999999999,31.036666666666665,
2023-07-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.071,2023-07-01,8.483333333333333,107.44878387451172,179.67,111.08333333333331,3.86,
2023-08-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.07,2023-08-01,7.253333333333334,101.14118194580078,179.67,14.676666666666668,0.3133333333333333,
2023-09-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.068,2023-09-01,5.11,98.6348114013672,200.99,5.836666666666667,64.58999999999999,
2023-10-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.067,2023-10-01,102.81,197.8870086669922,205.47,8.483333333333333,111.08333333333331,
2023-11-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.066,2023-11-01,308.74666666666667,156.69613647460938,203.47,7.253333333333334,14.676666666666668,
2023-12-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.065,2023-12-01,12.123333333333331,142.2794647216797,201.47,5.11,5.836666666666667,
2024-01-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.063,2024-01-01,1.9633333333333336,160.3736572265625,196.47,102.81,8.483333333333333,
2024-02-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.069,2024-02-01,2.29,146.59817504882812,195.47,308.74666666666667,7.253333333333334,
2024-03-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.075,2024-03-01,10.613333333333332,133.21316528320312,190.38,12.123333333333331,5.11,
2024-04-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.076,2024-04-01,135.20666666666668,163.9473419189453,180.38,1.9633333333333336,102.81,
2024-05-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.077,2024-05-01,18.55666666666667,130.52186584472656,179.18,2.29,308.74666666666667,
2024-06-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.078,2024-06-01,4.093333333333334,113.0927963256836,173.1,10.613333333333332,12.123333333333331,
2024-07-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.077,2024-07-01,5.21,92.3948745727539,171.6,135.20666666666668,1.9633333333333336,
2024-08-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.078,2024-08-01,11.5,140.97506713867188,171.6,18.55666666666667,2.29,
2024-09-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.078,2024-09-01,3.866666666666666,130.35877990722656,171.6,4.093333333333334,10.613333333333332,
2024-10-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.078,2024-10-01,5.78,130.689208984375,168.06,5.21,135.20666666666668,
2024-11-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.077,2024-11-01,94.12666666666668,128.90164184570312,168.06,11.5,18.55666666666667,
2024-12-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.078,2024-12-01,3.7,142.36643981933594,165.06,3.866666666666666,4.093333333333334,
2025-01-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.077,2025-01-01,0.3066666666666667,113.233154296875,167.06,5.78,5.21,
2025-02-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.077,2025-02-01,0.5633333333333334,136.9805908203125,167.06,94.12666666666668,11.5,
2025-03-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.077,2025-03-01,43.05,175.901123046875,167.06,3.7,3.866666666666666,
2025-05-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.077,2025-05-01,35.0,167.42288208007812,164.78,0.3066666666666667,5.78,
2025-07-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.077,2025-07-01,3.6366666666666654,134.64071655273438,171.58,0.5633333333333334,94.12666666666668,
2025-09-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.077,2025-09-01,3.87,125.86952209472656,171.47,43.05,3.7,
2025-10-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.077,2025-10-01,15.87,153.4799346923828,171.47,35.0,0.3066666666666667,
2025-11-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.077,2025-11-01,12.54,103.939208984375,171.47,3.6366666666666654,0.5633333333333334,
2026-01-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.078,2026-01-01,0.11,168.62986755371094,170.47,3.87,43.05,
2026-02-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.078,2026-02-01,0.02,119.86540985107422,166.54,15.87,35.0,
2026-03-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.077,2026-03-01,3.08,330.17681884765625,166.54,12.54,3.6366666666666654,
2026-05-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,9.89,0.076,2026-05-01,1.16,203.5819854736328,232.86,0.11,3.87,
2026-06-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.077,2026-06-01,0.36,179.9416961669922,222.86,0.02,15.87,
2026-07-15,North Eastern,Garissa,Dagahaley (Daadab),3252,0.19,40.29,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.077,2026-07-01,0.09,167.53224182128906,222.86,3.08,12.54,
2021-02-15,Nairobi,Nairobi,Dandora (Nairobi),4628,-1.25,36.9,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,5.0,0.046,2021-02-01,64.06,73.95680236816406,101.91,,,
2021-03-15,Nairobi,Nairobi,Dandora (Nairobi),4628,-1.25,36.9,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,5.0,0.046,2021-03-01,17.51,78.61876678466797,107.66,,,
2021-04-15,Nairobi,Nairobi,Dandora (Nairobi),4628,-1.25,36.9,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,6.59,0.062,2021-04-01,101.86,88.16622161865234,107.66,,,
2021-05-15,Nairobi,Nairobi,Dandora (Nairobi),4628,-1.25,36.9,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,5.0,0.047,2021-05-01,97.17,93.00713348388672,107.66,64.06,,
2021-06-15,Nairobi,Nairobi,Dandora (Nairobi),4628,-1.25,36.9,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,5.0,0.046,2021-06-01,13.58,74.12712097167969,107.66,17.51,,
2021-07-15,Nairobi,Nairobi,Dandora (Nairobi),4628,-1.25,36.9,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,5.0,0.046,2021-07-01,17.59,58.42076873779297,107.66,101.86,,
2021-08-15,Nairobi,Nairobi,Dandora (Nairobi),4628,-1.25,36.9,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,5.0,0.046,2021-08-01,22.56,89.4865493774414,107.66,97.17,64.06,
2021-09-15,Nairobi,Nairobi,Dandora (Nairobi),4628,-1.25,36.9,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,5.0,0.045,2021-09-01,19.27,80.69696807861328,115.6,13.58,17.51,
2021-10-15,Nairobi,Nairobi,Dandora (Nairobi),4628,-1.25,36.9,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,5.0,0.045,2021-10-01,13.62,79.02923583984375,110.6,17.59,101.86,
2021-11-15,Nairobi,Nairobi,Dandora (Nairobi),4628,-1.25,36.9,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,5.0,0.045,2021-11-01,75.55,86.56914520263672,110.6,22.56,97.17,
2021-12-15,Nairobi,Nairobi,Dandora (Nairobi),4628,-1.25,36.9,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,5.0,0.044,2021-12-01,60.26,105.34542083740234,129.72,19.27,13.58,
2022-01-15,Nairobi,Nairobi,Dandora (Nairobi),4628,-1.25,36.9,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,5.0,0.044,2022-01-01,26.38,138.67498779296875,129.72,13.62,17.59,
2021-02-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,20.0,0.18,2021-02-01,96.08357142857145,73.95680236816406,101.91,,,
2021-03-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,20.0,0.18,2021-03-01,42.51142857142857,78.61876678466797,107.66,,,
2021-04-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,20.0,0.19,2021-04-01,123.56571428571428,88.16622161865234,107.66,,,
2021-05-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,16.11,0.15,2021-05-01,222.105,93.00713348388672,107.66,96.08357142857145,,
2021-06-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,20.0,0.19,2021-06-01,36.02571428571429,74.12712097167969,107.66,42.51142857142857,,
2021-08-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,20.0,0.18,2021-08-01,134.79785714285714,89.4865493774414,107.66,123.56571428571428,,
2021-09-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.091,2021-09-01,209.06285714285715,80.69696807861328,115.6,222.105,96.08357142857145,
2021-12-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,20.0,0.18,2021-12-01,54.550714285714285,105.34542083740234,129.72,36.02571428571429,42.51142857142857,
2022-01-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,15.0,0.13,2022-01-01,74.71142857142857,138.67498779296875,129.72,134.79785714285714,123.56571428571428,
2024-03-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,20.0,0.15,2024-03-01,58.457142857142856,133.21316528320312,190.38,209.06285714285715,222.105,
2024-04-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,20.0,0.15,2024-04-01,384.6,163.9473419189453,180.38,54.550714285714285,36.02571428571429,
2024-10-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,20.0,0.16,2024-10-01,112.63714285714286,130.689208984375,168.06,74.71142857142857,134.79785714285714,
2024-12-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,20.0,0.16,2024-12-01,61.00714285714286,142.36643981933594,165.06,58.457142857142856,209.06285714285715,
2025-02-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,20.0,0.15,2025-02-01,10.383571428571427,136.9805908203125,167.06,384.6,54.550714285714285,
2025-03-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,20.0,0.15,2025-03-01,168.72571428571428,175.901123046875,167.06,112.63714285714286,74.71142857142857,
2025-06-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,20.0,0.15,2025-06-01,103.10714285714286,222.58563232421875,162.91,61.00714285714286,58.457142857142856,
2025-09-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,20.0,0.15,2025-09-01,183.43142857142857,125.86952209472656,171.47,10.383571428571427,384.6,
2025-10-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,20.0,0.15,2025-10-01,201.25,153.4799346923828,171.47,168.72571428571428,112.63714285714286,
2025-11-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,20.0,0.15,2025-11-01,41.892857142857146,103.939208984375,171.47,103.10714285714286,61.00714285714286,
2026-03-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,15.0,0.12,2026-03-01,0.85,330.17681884765625,166.54,183.43142857142857,10.383571428571427,
2026-04-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,20.0,0.15,2026-04-01,2.4,250.28366088867188,196.63,201.25,168.72571428571428,
2026-07-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,15.0,0.12,2026-07-01,0.44,167.53224182128906,222.86,41.892857142857146,103.10714285714286,
2026-08-15,Rift Valley,Turkana,Ethiopia (Kakuma),3253,3.72,34.85,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,15.0,0.12,2026-08-01,3.16,117.9188461303711,222.86,0.85,183.43142857142857,
2021-03-15,North Eastern,Garissa,Garissa town (Garissa),3356,-0.46,39.64,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.091,2021-03-01,6.166666666666667,78.61876678466797,107.66,,,
2021-06-15,North Eastern,Garissa,Garissa town (Garissa),3356,-0.46,39.64,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.093,2021-06-01,7.316666666666666,74.12712097167969,107.66,,,
2021-07-15,North Eastern,Garissa,Garissa town (Garissa),3356,-0.46,39.64,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.093,2021-07-01,4.123333333333334,58.42076873779297,107.66,,,
2021-08-15,North Eastern,Garissa,Garissa town (Garissa),3356,-0.46,39.64,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.092,2021-08-01,3.623333333333333,89.4865493774414,107.66,6.166666666666667,,
2021-09-15,North Eastern,Garissa,Garissa town (Garissa),3356,-0.46,39.64,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.091,2021-09-01,6.173333333333333,80.69696807861328,115.6,7.316666666666666,,
2021-10-15,North Eastern,Garissa,Garissa town (Garissa),3356,-0.46,39.64,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.09,2021-10-01,5.34,79.02923583984375,110.6,4.123333333333334,,
2021-12-15,North Eastern,Garissa,Garissa town (Garissa),3356,-0.46,39.64,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.089,2021-12-01,32.21333333333334,105.34542083740234,129.72,3.623333333333333,6.166666666666667,
2022-01-15,North Eastern,Garissa,Garissa town (Garissa),3356,-0.46,39.64,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.088,2022-01-01,2.31,138.67498779296875,129.72,6.173333333333333,7.316666666666666,
2022-02-15,North Eastern,Garissa,Garissa town (Garissa),3356,-0.46,39.64,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.088,2022-02-01,0.3666666666666667,216.1590118408203,129.72,5.34,4.123333333333334,
2021-01-15,North Eastern,Garissa,Hagadera (Daadab),3254,0.01,40.37,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,8.33,0.076,2021-01-01,1.2533333333333332,77.418701171875,96.4,,,
2021-03-15,North Eastern,Garissa,Hagadera (Daadab),3254,0.01,40.37,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,5.0,0.046,2021-03-01,6.166666666666667,78.61876678466797,107.66,,,
2021-04-15,North Eastern,Garissa,Hagadera (Daadab),3254,0.01,40.37,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,8.04,0.075,2021-04-01,72.40666666666667,88.16622161865234,107.66,,,
2021-05-15,North Eastern,Garissa,Hagadera (Daadab),3254,0.01,40.37,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,9.79,0.091,2021-05-01,16.683333333333334,93.00713348388672,107.66,1.2533333333333332,,
2021-06-15,North Eastern,Garissa,Hagadera (Daadab),3254,0.01,40.37,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,9.81,0.091,2021-06-01,7.316666666666666,74.12712097167969,107.66,6.166666666666667,,
2021-07-15,North Eastern,Garissa,Hagadera (Daadab),3254,0.01,40.37,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.093,2021-07-01,4.123333333333334,58.42076873779297,107.66,72.40666666666667,,
2021-08-15,North Eastern,Garissa,Hagadera (Daadab),3254,0.01,40.37,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,8.42,0.077,2021-08-01,3.623333333333333,89.4865493774414,107.66,16.683333333333334,1.2533333333333332,
2021-09-15,North Eastern,Garissa,Hagadera (Daadab),3254,0.01,40.37,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,9.36,0.085,2021-09-01,6.173333333333333,80.69696807861328,115.6,7.316666666666666,6.166666666666667,
2021-10-15,North Eastern,Garissa,Hagadera (Daadab),3254,0.01,40.37,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.09,2021-10-01,5.34,79.02923583984375,110.6,4.123333333333334,72.40666666666667,
2021-11-15,North Eastern,Garissa,Hagadera (Daadab),3254,0.01,40.37,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,9.03,0.081,2021-11-01,44.23,86.56914520263672,110.6,3.623333333333333,16.683333333333334,
2021-12-15,North Eastern,Garissa,Hagadera (Daadab),3254,0.01,40.37,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.089,2021-12-01,32.21333333333334,105.34542083740234,129.72,6.173333333333333,7.316666666666666,
2023-01-15,North Eastern,Garissa,Hagadera (Daadab),3254,0.01,40.37,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.081,2023-01-01,3.86,104.2670440673828,162.0,5.34,4.123333333333334,
2023-02-15,North Eastern,Garissa,Hagadera (Daadab),3254,0.01,40.37,vegetables and fruits,Bananas,254,Unit,aggregate,Retail,KES,10.0,0.08,2023-02-01,0.3133333333333333,120.99437713623048,162.0,44.23,3.623333333333333,
